,Company Name,Rating,Sector,Size,Job Description,Industry,Job Title,Revenue,Type of Ownership,Salary Estimate,Founded,Location
397,AUGR LLC,,,,,,Data Engineer/Scientist TS/SCI w/POLY,,,$73K - $148K (Glassdoor est.),,"Tysons Corner, VA"
398,"MindWell Center, LLP",,,,"Requires a minimum US Top Security Clearance with polygraph.
AUGR LLC is seeking a data scientist to support the Office of Director of National Intelligence. The supported office is the DNI's principal advising office on matters pertaining to systems analyses, cost analyses and program evaluation and is responsible for framing major resource decisions and managing the process by which the DNI determines the National Intelligence Program (NIP). As part of these efforts, ODNI conducts studies and analyses in support of IC programmatic and resourcing decisions. To support successful execution for these efforts, ODNI requires statistical data and analytic support to advise and assist on-going efforts.
The qualified candidate will be responsible for collecting and analyzing large sets of structured and unstructured data from disparate sources. Additional responsibilities include: developing or integrating analytic capabilities and tools, advising on analytic approaches and gaps in capabilities, cleaning and validating data to ensure accuracy, completeness, and uniformity, analyzing data to identify patterns and trends, devising and applying models and algorithms to mine the stores of big data, interpreting data to discover solutions and opportunities. The successful candidate will have strong client engagement skills.",,Clinic Manager,,,$73K - $148K (Glassdoor est.),,"Latham, NY"
399,"Surescripts, LLC",4.4,Information Technology,501 to 1000 Employees,"The MindWell Center is committed to hiring a diverse staff to effectively serve our patient population. BIPOC and LGBTQ individuals are encouraged to apply.
Position Description:
The current position includes the following components:
I. Client Support
Processes paperwork for new clients efficiently and in accordance with protocols, including courteous client reminders to complete surveys or interviews.
Collects payment from clients at the time of service or facilitates automated payments.
Answers and screens inquiry calls and emails from prospective clients.
Ensures that all admission forms are properly signed and filed.",Enterprise Software & Network Solutions,Senior Master Data Scientist,Unknown / Non-Applicable,Company - Private,$73K - $148K (Glassdoor est.),2001,"Minneapolis, MN"
400,"Professional Management Enterprises, Inc",,$1 to $5 million (USD),51 to 200 Employees,"Our purpose is to serve the nation with the single most trusted and capable health information network, built to increase patient safety, lower costs and ensure quality care.
What You’re Like
You have a relentless desire to get stuff done. A true champion of the collective objective, you’re energized by applying your expertise with a group of talented people to achieve something important, together. You’re curious and passionate about new technologies and cutting-edge innovation, and you enjoy pulling together complex pieces of a puzzle to deliver a powerful and meaningful end-product. You’re a translator between people and teams that don’t use the same lingo. You don’t settle for short-term gratification—you’re into long-haul, incremental efforts that require endurance, patience and next-level collaboration.",Business Services,Developer Advisor,,Advertising & Marketing,$73K - $148K (Glassdoor est.),Company - Private,"Indianapolis, IN"
401,WD-40 Company,3.7,Manufacturing,201 to 500 Employees,"Primary duties may include, but are not limited to:
Develop data processes/functions to support batch functions and ETL for structured data processing and possess data science skills to exploratory data
Build data conduits to support data movement and data subscription needs from our operational systems, data warehouses, and data lake and external customer systems
Identifies opportunities for data simplification, standardization, and performance tuning to provide an optimal data product
Builds algorithmic models, determines data patterns , developing ML models to predict the data outcomes and build analytical data products
Support new bids and data products
Responsible for programming on specific application subsets of the company's application portfolio, participating in all phases of the development and maintenance life cycle, typically for an assigned business unit, client program, or corporate department and utilizing various customer technology platforms.",Consumer Products Manufacturing,Manager of Data Insights,$100 to $500 million (USD),Company - Public,$73K - $148K (Glassdoor est.),1953,United States
402,Federal Staffing Solutions Inc.,3.7,Manufacturing,201 to 500 Employees,"Overview: Would you like to support one of the world's most iconic brands? This role works across our US sales, marketing, and supply chain teams to connect the dots and provide meaningful data informed insights to guide leadership and strategic account decision making. Data talks and we rely heavily on our data experts to get the job done right.
The successful candidate will have an inspiring passion for all things data and data informed behaviors. With your collaboration and data informed insights, we will better understand consumer behavior to ensure we are able to build promotional and marketing programs to increase our sales velocity. If this sounds like a fun and challenging opportunity, we would love to hear from you and have the opportunity to answer your questions!
Responsibilities:
Triangulates and analyzes multivariate data to make generate insights and strategic recommendations on market development, sales promotion, and distribution programs in the US",Consumer Products Manufacturing,Data Scientist (Top Secret),$100 to $500 million (USD),Company - Public,$73K - $148K (Glassdoor est.),1953,"Washington, DC"
403,Revel IT,3.7,Manufacturing,201 to 500 Employees,"Overview: Would you like to support one of the world's most iconic brands? This role works across our US sales, marketing, and supply chain teams to connect the dots and provide meaningful data informed insights to guide leadership and strategic account decision making. Data talks and we rely heavily on our data experts to get the job done right.
The successful candidate will have an inspiring passion for all things data and data informed behaviors. With your collaboration and data informed insights, we will better understand consumer behavior to ensure we are able to build promotional and marketing programs to increase our sales velocity. If this sounds like a fun and challenging opportunity, we would love to hear from you and have the opportunity to answer your questions!
Responsibilities:
Triangulates and analyzes multivariate data to make generate insights and strategic recommendations on market development, sales promotion, and distribution programs in the US",Consumer Products Manufacturing,"Senior Data Engineer / Tech Lead, onsite - 541181",$100 to $500 million (USD),Company - Public,$73K - $148K (Glassdoor est.),1953,"Dublin, OH"
404,Deloitte,,Accounting & Legal,10000+ Employees,"We connect our employees with some of the best opportunities around.

Time and time again, our employees tell us that the most important thing we offer is respect. Federal Staffing Solutions puts people to work in all types of jobs. When you work with us, you build a relationship with a team of employment professionals in your community who have, in turn, built personal relationships with the businesses that are hiring.

We are looking for a Data Scientist to work in Washington, DC supporting our client.

Clearance: Top Secret
















Experience Requirements: - • Knowledge of how to use SPSS, Azure Cognitive Services, Python or equivalent to build machine learning, predictive, and descriptive models through all phases of development, from design through training, evaluation, validation, and implementation – • Understanding of how to build business intelligence applications in Microsoft Power BI and script custom ETL via SQL, M, and Dax – • Able to work in a fast-paced and dynamic environment with both virtual and face-to-face interactions; utilize structured approaches to solving problems, managing risks, and documenting assumption while communicating results and educating others through insightful visualizations, reports, and presentations – • Can work effectively without detailed instructions and comfortable documenting work in Jira Essential Requirements: US Citizenship is required. Top Secret Clearance",Accounting,Azure Cloud Enablement - Analytics & Cognitive Senior Consultant,$10+ billion (USD),Company - Private,$73K - $148K (Glassdoor est.),1850,"Boston, MA"
405,Bloomberg,3.9,Accounting & Legal,10000+ Employees,"The Team
Analytics & Cognitive
In this age of disruption, organizations need to navigate the future with confidence, embracing decision making with clear, data-driven choices that deliver enterprise value in a dynamic business environment.
The Analytics & Cognitive team leverages the power of data, analytics, robotics, science and cognitive technologies to uncover hidden relationships from vast troves of data, generate insights, and inform decision-making. Together with the Strategy practice, our Strategy & Analytics portfolio helps clients transform their business by architecting organizational intelligence programs and differentiated strategies to win in their chosen markets.
Analytics & Cognitive will work with our clients to:",Accounting,Enterprise Data - BVAL Data Architect,$10+ billion (USD),Company - Private,$73K - $148K (Glassdoor est.),1850,"New York, NY"
406,ManTech International Corporation,3.9,Accounting & Legal,10000+ Employees,"The Team
Analytics & Cognitive
In this age of disruption, organizations need to navigate the future with confidence, embracing decision making with clear, data-driven choices that deliver enterprise value in a dynamic business environment.
The Analytics & Cognitive team leverages the power of data, analytics, robotics, science and cognitive technologies to uncover hidden relationships from vast troves of data, generate insights, and inform decision-making. Together with the Strategy practice, our Strategy & Analytics portfolio helps clients transform their business by architecting organizational intelligence programs and differentiated strategies to win in their chosen markets.
Analytics & Cognitive will work with our clients to:",Accounting,Senior Data Scientist,$10+ billion (USD),Company - Private,$73K - $148K (Glassdoor est.),1850,"Ashburn, VA"
407,"Vizient, Inc.",4.1,Health Care,1001 to 5000 Employees,"When you’re the best, we’re the best. We instill an environment where employees feel engaged, satisfied and able to contribute their unique skills and talents. We provide extensive opportunities for personal and professional development, building both employee competence and organizational capability to fuel exceptional performance now and in the future.
Summary:
In this role, you will conduct sophisticated data analysis to help address critical business and member questions, the outputs of which enable members to drive improvements in clinical, operational, and economic outcomes.
Responsibilities:
Provide analysis to identify critical issues/questions around member performance.
$99,300.00 - $147,700.00",Health Care Services & Hospitals,Health Care Data Scientist,$500 million to $1 billion (USD),Company - Private,$73K - $148K (Glassdoor est.),1977,"Chicago, IL"
408,Knowledge Services,2.9,Information Technology,51 to 200 Employees,"When you’re the best, we’re the best. We instill an environment where employees feel engaged, satisfied and able to contribute their unique skills and talents. We provide extensive opportunities for personal and professional development, building both employee competence and organizational capability to fuel exceptional performance now and in the future.
Summary:
In this role, you will conduct sophisticated data analysis to help address critical business and member questions, the outputs of which enable members to drive improvements in clinical, operational, and economic outcomes.
Responsibilities:
Provide analysis to identify critical issues/questions around member performance.
$99,300.00 - $147,700.00",IT Services,Data Analyst,$100 to $500 million (USD),Company - Private,$73K - $148K (Glassdoor est.),1994,"Nashville, TN"
409,SEQ Technology,,,,"Overview:
Knowledge Services is seeking a Data Analyst for a 6-month contract (potential for extension) with the State of Tennessee TennCare. Terrific work/life balance working 37 1/2 hrs per week and benefit eligible.

Applicants must be local to Nashville area as periodic onsite work will be required, but will mostly work from home for the foreseeable future.

Knowledge Services has benefit offerings to include the following!

Medical, dental, and vision coverage
Voluntary Life and AD&D coverage
Pet Insurance
Responsibilities:










Qualifications:",,Java Developer,,,$73K - $148K (Glassdoor est.),,"Chicago, IL"
410,PayPal,,,,"Job Description
Our client is a global hedge fund with a strong commitment to leveraging innovations in technology and data science to solve complex problems for the business. The Fixed Income & Commodities Technology (FICT) group is responsible for providing firm wide live risk and P&L for all Fixed Income, Commodities, Credit and FX products. FICT provides a dynamic and fast-paced environment with excellent growth opportunities.
Responsibilities:
Take part in the development and enhancement of the FICT backend distributed system.
Ensure FICT provides continuous, uninterrupted, firm wide risk and P&L.
Work closely with other global FICT research and tech team members.
Help integrating the new FICT analytics library into the existing system, using up to date technologies",,Data Scientist 2,,,$73K - $148K (Glassdoor est.),,"Austin, TX"
411,OneMain Financial,3.5,Finance,5001 to 10000 Employees,"Who we are: Fueled by a fundamental belief that having access to financial services creates opportunity, PayPal (NASDAQ: PYPL) is committed to democratizing financial services and empowering people and businesses to join and thrive in the global economy. Our open digital payments platform gives PayPal’s 392 million active account holders the confidence to connect and transact in new and powerful ways, whether they are online, on a mobile device, in an app, or in person. Through a combination of technological innovation and strategic partnerships, PayPal creates better ways to manage and move money, and offers choice and flexibility when sending payments, paying or getting paid. Available in more than 200 markets around the world, the PayPal platform, including Braintree, Venmo and Xoom enables consumers and merchants to receive money in more than 100 currencies, withdraw funds in 56 currencies and hold balances in their PayPal accounts in 25 currencies.
Job Description Summary: Simility, a PayPal Service, is an end-to-end fraud management platform helping large merchants, banks, and other Fortune 1000 companies manage fraud and risk. Our systems help enterprises detect fraudulent events real time and help protect these enterprises from online threats. We do so by creatively harnessing the power of data, machine learning and humans and be on the cutting edge of fraud detection techniques and algorithms. Simility welcomes big thinkers and passionate team players, who are ready to take their career to the next level. This position will be based out of our Austin office.",Lending,"Manager, Data Science",Unknown / Non-Applicable,Company - Public,$73K - $148K (Glassdoor est.),1912,"Wilmington, DE"
412,Cyient,3.3,Information Technology,10000+ Employees,,IT Services,Data Scientist,$100 to $500 million (USD),Company - Public,$73K - $148K (Glassdoor est.),1991,"Phoenix, AZ"
413,RDI Tech Partners,,,,"About the Role:
The position creates new footprint for data-driven innovation and value for our customers and prospects while providing analytical capabilities. You would be part of core team that would help design and develop advanced analytics solutions across functional areas as per client requirement/opportunities. Key requirements include an ability to communicate complex quantitative analysis with a lucid, precise, clear and actionable insight. You should be experienced in solving analytical problems using quantitative approaches. You would also invest your time in developing new practices and methodologies using statistical methods, machine learning and predictive models under mentorship from experts across industry.
You will:
Identify and manage the analysis and interpretation of clients' internal and external data to drive decision making.",,Lead Software Engineer - Full Stack,,,$73K - $148K (Glassdoor est.),,Remote
414,Deloitte,3.9,Accounting & Legal,10000+ Employees,,Accounting,Machine Learning Engineer - Senior Consultant,$10+ billion (USD),Company - Private,$73K - $148K (Glassdoor est.),1850,"Los Angeles, CA"
415,"Menusifu, Inc.",3.2,Information Technology,1 to 50 Employees,"Deloitte's Cloud Machine Learning (ML) offering combines the power of our Cloud, ML, and Analytics to accelerate the delivery of value for our clients, all using NexGen capabilities. Our clients are looking for ways to integrate more automation into business processes and are ready to adopt public cloud to transform their organization. We are looking for smart AI/ML Engineers who have experience in working with large-scale data ecosystems including data lake, data management, governance. We are seeking experienced architects and engineers who can apply the latest techniques to help our clients in the integration of structured and unstructured data to generate insights leveraging cloud-based platforms.
Work you'll do
In partnership with other leaders in the firm, you will focus on understanding requirements, designing and deploying leading AI/ML engineering solutions and, as a key member of our engineering practice solve tough problems and ensure success in designing and building complex world-class applications with automation on public cloud.",Enterprise Software & Network Solutions,Senior Product Manager (Bilingual in Mandarin Chinese),$1 to $5 million (USD),Company - Private,$73K - $148K (Glassdoor est.),2013,"New York, NY"
416,Varsity Tutors,4.1,Information Technology,201 to 500 Employees,"Marietta Data Science Instructor Jobs
With the new school year approaching, the Varsity Tutors platform has thousands of students looking for online Data Science instructors nationally and in Marietta. As an instructor who uses the Varsity Tutors platform, you can earn good money teaching small groups of students, choose your own hours, and truly make a difference in the lives of your students.
Why join our platform?
Enjoy competitive rates and get paid 2x per week.
Choose to tutor as much or as little as you want.
Set your own hours and schedule.",Internet,Marietta Data Science Instructor Jobs,Unknown / Non-Applicable,Company - Private,$61K - $123K (Glassdoor est.),2007,"Marietta, GA"
417,Varsity Tutors,4.1,Information Technology,201 to 500 Employees,"Marietta Data Science Instructor Jobs
With the new school year approaching, the Varsity Tutors platform has thousands of students looking for online Data Science instructors nationally and in Marietta. As an instructor who uses the Varsity Tutors platform, you can earn good money teaching small groups of students, choose your own hours, and truly make a difference in the lives of your students.
Why join our platform?
Enjoy competitive rates and get paid 2x per week.
Choose to tutor as much or as little as you want.
Set your own hours and schedule.",Internet,Bethesda Data Science Instructor Jobs,Unknown / Non-Applicable,Company - Private,$61K - $123K (Glassdoor est.),2007,"Bethesda, MD"
418,Predictive Sales AI,4.1,Information Technology,201 to 500 Employees,"Bethesda Data Science Instructor Jobs
With the new school year approaching, the Varsity Tutors platform has thousands of students looking for online Data Science instructors nationally and in Bethesda. As an instructor who uses the Varsity Tutors platform, you can earn good money teaching small groups of students, choose your own hours, and truly make a difference in the lives of your students.
Why join our platform?
Enjoy competitive rates and get paid 2x per week.
Choose to tutor as much or as little as you want.
Set your own hours and schedule.",Internet,Data Engineer,Unknown / Non-Applicable,Company - Private,$61K - $123K (Glassdoor est.),2007,"Chicago, IL"
419,Intapp,5.0,Information Technology,51 to 200 Employees,"What do incubators and Predictive Sales AK have in common? Well, they’re great for growth, and even better for stability. As an innovative software development and digital marketing company pioneering the field of artificial intelligence, we can offer our newest Data Engineer the best of both words – a high energy, forward-thinking start-up culture, inside of a well-established, profitable, and stable structure . if you’re interested in getting your hands dirty and inciting change into a larger organization with a vision to change the world uses data today, then please read on.
Responsibilities
Design, build and maintain both new and existing data infrastructures using tools including (but not limited to) Microsoft SQL Server, Azure Tables, Azure Blobs, and Azure Cosmos
Determine the right database system for a provided data set
Drafting database/table schemas",Enterprise Software & Network Solutions,Senior Java Developer,Unknown / Non-Applicable,Company - Private,$61K - $123K (Glassdoor est.),2016,"Charlotte, NC"
420,Protect My Car,3.5,Insurance,201 to 500 Employees,"Protect My Car, the industry leader in vehicle service contracts is seeking a Data Analyst to work collaboratively with its marketing department to analyze demand generation campaigns and automate its reporting process. The key to your success is your ability to quickly assess performance, visualize, and present the results to a broad team of stakeholders. The key areas of responsibility include, but are not limited to prospect generation optimization, prospect nurturing, and customer engagement.
Responsibilities:
Track, report, and analyze the performance of marketing campaigns and ad-hoc analytical requests within the marketing department.
Automate weekly and bi-weekly omnichannel reports.
Analyze internal and external data prospect and customer data using database queries.",Insurance Agencies & Brokerages,Data Analyst,$100 to $500 million (USD),Company - Private,$61K - $123K (Glassdoor est.),2005,"Saint Petersburg, FL"
421,Thermo Fisher Scientific,3.5,Biotech & Pharmaceuticals,,"Protect My Car, the industry leader in vehicle service contracts is seeking a Data Analyst to work collaboratively with its marketing department to analyze demand generation campaigns and automate its reporting process. The key to your success is your ability to quickly assess performance, visualize, and present the results to a broad team of stakeholders. The key areas of responsibility include, but are not limited to prospect generation optimization, prospect nurturing, and customer engagement.
Responsibilities:
Track, report, and analyze the performance of marketing campaigns and ad-hoc analytical requests within the marketing department.
Automate weekly and bi-weekly omnichannel reports.
Analyze internal and external data prospect and customer data using database queries.",Biotech & Pharmaceuticals,Digital Paid Media Specialist III,$10+ billion (USD),Company - Public,$61K - $123K (Glassdoor est.),1902,California
422,Home Care Assistance,3.8,Health Care,10000+ Employees,"Paid Media Specialist III
167785BR

*This position can be remote or sit at any location within the Thermo Fisher Scientific Footprint*

When you’re part of the team at Thermo Fisher Scientific, you’ll do important work, and you’ll be valued and recognized for your performance. With talented managers and inspiring coworkers to support you, you’ll find the resources and opportunities to make significant contributions to the world.

How you will make an impact:

We are looking for a driven Paid Media Specialist (Social Media and 3rd Party) who is ready to make a difference. Here at Thermo Fisher Scientific we are the leader in serving science, with an eye on becoming the leader in the digital marketing space. Our customers demand more from digital than ever before. It is our mission to exceed their expectations while at the same time significantly advancing the business profitably.

The candidate will need proficiency in multiple digital channels, including advertising strategies, related tools/technologies, analysis, media budget planning and optimization associated with customer engagement efforts. The successful candidate will have recent hands-on experience on end-to-end social media and 3rd party display advertising campaigns from planning, execution thru to reporting across Facebook Ads, LinkedIn Ads and 3rd party industry related sites.

You will be responsible for strategizing, executing, and optimizing digital campaigns across Fisher Healthcare division. This is a hands-on role that requires you to collaborate with key marketing leads, digital marketing specialists, portfolio managers and analysts from strategy to execution of digital campaigns to support business requirements – brand/product awareness, contact acquisition, lead generation, and driving ecommerce revenue.
This role requires a digital marketer who can evangelize and educate others in our marketing and sales organization about digital channels as well as collaborate with a team of hardworking professionals from strategy through execution.

To be successful in this capacity, the candidate for this role needs to be comfortable working in a highly matrixed environment and collaborating with large teams across the company. The ideal candidate will be passionate, have a vision for the future of paid media and marketing, and focused on delivering results while continuously improving customer centricity and experience within our digital channels.




:

At , each one of our 80,000 extraordinary minds has a unique story to tell. Join us and contribute to our singular mission—enabling our customers to make the world healthier, cleaner and safer.",Biotech & Pharmaceuticals,"Marketing Analytics Manager-Data, Reporting & Analytics",$100 to $500 million (USD),Company - Public,$61K - $123K (Glassdoor est.),1902,"Phoenix, AZ"
423,Battelle,,,,"Our Mission at Home Care Assistance is to Change the Way the World Ages!

HCA is seeking an experienced Marketing Analytics Manager to drive data and reporting excellence and analytics insights to maximize growth and ROI.

This is a remote role with the ideal candidate to be in Phoenix, AZ market or on the West Coast. We are unable to provide sponsorship. Apply only if you meet this criteria.

Our business is growing, and we need a self-starting manager to help take the business to the next level. We have been ranked by INC Magazine as one of the 5000 fastest growing companies in America - and are certainly among the most innovative in our industry. We are a senior home-care company with a mission to providing high quality services to the aging community. We are a great company to work for, offering benefits, bonus plans and a 401K. We make no exceptions to hire the best in every position and we hope that next great hire is you.

Our ideal candidate for theposition is experienced with the data technology and tools for optimizing media investment and web conversion to maximize ROI. A successful candidate will be able to understand the drivers of a business, identify opportunities using data, and work with and influence business partners to identify interventions, tests and changes to processes that change and improve outcomes.",,Senior Data Scientist,,,$61K - $123K (Glassdoor est.),,"Columbus, OH"
424,The Maxis Group,,,,"Battelle delivers when others can’t. We conduct research and development, manage laboratories, design and manufacture products and deliver critical services for our clients—whether they are a multi-national corporation, a small start-up or a government agency.

We recognize and appreciate the value and contributions of individuals with diverse backgrounds and experiences and welcome all qualified individuals to apply.
JOB SUMMARY
Battelle’s Trust and Assurance Cyber Analytics Department is seeking a Senior Data Scientist to work in our Columbus, Ohio location.",,Data Analyst / Service Desk,,,$61K - $123K (Glassdoor est.),,"Mesa, AZ"
425,Envision LLC,4.5,Business Services,201 to 500 Employees,"Seeking someone that performs desktop tasks but has a good amount of data manipulation experience, documented knowledge of excel spreadsheets including V&H lookups and the ability to use formulas to manipulate data.
This person will be learning to help support the team with task associated with SOX (Sarbanes Oxley).
The Service Desk Analyst role provides desktop support to users during normal Service Desk business hours, Monday through Friday, excluding company observed holidays. This role will also assist with the answering end user calls, working shared email account and be the escalation path for all Associate level task as needed. The Service Desk Analyst may also be subject to rotational on-call duties for after hours, weekends and holidays support. The technician will be responsible for on-site and/or remote installation, implementation, maintenance, troubleshooting and/or repair of desktops, laptops, printers, and associated peripherals over Microsoft Windows and Apple OS operating systems. The technician will also assist with basic Android and Apple mobile devices.",Staffing & Outsourcing,Data Scientist- Python-ML- St. Louis,$25 to $50 million (USD),Company - Private,$61K - $123K (Glassdoor est.),1994,"Saint Louis, MO"
426,Vanderbilt University Medical Center,4.5,Business Services,201 to 500 Employees,"Data Scientist-Machine Learning/Python- St. Louis, MO
No C2C; must be our W2 employee

Required Skills / Experience:
Master’s or equivalent in engineering, computer science, machine learning, statistics, genetics, animal/plant breeding or equivalent
2+ years Data Science code development experience in Python, R or Julia
Knowledge of Machine learning techniques such as regression, classification & deep learning.
Experience with coding best practices, version control and documentation
Commitment to ensuring data quality and accuracy and attention to detail",Staffing & Outsourcing,"Senior SQL Developer, BioMedical Informatics",$25 to $50 million (USD),Company - Private,$61K - $123K (Glassdoor est.),1994,"Nashville, TN"
427,Deloitte,,Accounting & Legal,10000+ Employees,"Senior SQL Developer, BioMedical Informatics
2101231
Job Research
Primary Location TN-Nashville-2525 West End Ave
Organization Biomedical Informatics 104785
Shift Days

JOB SUMMARY:
This Senior SQL Developer preferentially requires SQL expertise, designing a transformation, architecting databases, maintaining multiple project code databases, and other solutions to serve data to data science teams under business owner guidance. Provides support services for database object creation, performance, monitoring, tuning and capacity planning. Enforces policies and procedures for maintaining the security and integrity of the database. Develops and modifies software independently. Designs, codes, performs benchmark testing, debugging and documentation of programs. Implements large/multiple development projects. Functions as lead on projects. May lead teams. Coaches development of Application Developers.",Accounting,"Senior Consultant - CBO - Operations Transformation, Center for Process Bionics",$10+ billion (USD),Company - Private,$61K - $123K (Glassdoor est.),1850,"New York, NY"
428,GE Healthcare,,Health Care,10000+ Employees,"Senior Consultant, Center for Process Bionics, Operations Transformation
Center for Process Bionics (CPB) is designed to orchestrate innovative and high return Process Transformation. CPB combines unparalleled sector experience with a proven set of modern methodologies, next-gen technology solutions and assets to create an integrated solution of process capture, blueprinting, execution and continuous evolution.
Work you'll do
Senior Consultants perform detailed quantitative and qualitative analysis work associated with developing meaningful insights to address client's biggest challenges. Responsibilities typical of a Senior Consultant on one of these projects could include:
Process Capture thru automated Process Mining and Next-Gen Process Modeling",Health Care Services & Hospitals,Regional Director - Scientific Affairs,$10+ billion (USD),Subsidiary or Business Segment,$61K - $123K (Glassdoor est.),1892,Illinois
429,Aunalytics,3.8,Health Care,10000+ Employees,"Job Description Summary
This role is a member of the Medical & Scientific Affairs team within the Global Research organization. The Director is responsible for driving GEHC's agenda in the clinical community, with the objective of supporting independent scientific exchange with top strategic partners. The role serves as liaison between commercial, research & development activities, and targeting key opinion leaders in support of product roadmap development, technology innovation and research needs.

GE Healthcare is a medical technology and diagnostics business with a vision to become the leading innovator enabling precision health. With us, you can touch the lives of thousands of people globally and make every moment matter in your career.
Job Description",Health Care Services & Hospitals,Service Desk Deployment Technician,$10+ billion (USD),Subsidiary or Business Segment,$61K - $123K (Glassdoor est.),1892,"South Bend, IN"
430,Skyways,,Unknown / Non-Applicable,1 to 50 Employees,,Aerospace & Defense,Senior ML/CV/AI Software Engineer,,Aerospace & Defense,$61K - $123K (Glassdoor est.),Company - Private,"Manor, TX"
431,Sure Secure Solutions,,,,"[Please only apply if you have at least 5 years of experience as a SWE and if you have a BSc or MSc in Computer Science / Software Engineering. Please don't apply if you graduated recently or are about to graduate, we'll have other openings for these roles soon.]
At Skyways we are building a new form of air transportation -- some people call it the flying car. We believe large unmanned aerial vehicles (UAVs) represent a unique opportunity to move things and ultimately people in new, more efficient ways. Skyways is an early stage VC funded startup based near Austin TX. We were part of YCombinator, S17 batch.
We are growing and looking for a senior Software Engineer specialized in Machine Learning / Computer Vision / AI to join our team. You are excited about things that fly and you want to advance the future of our civilization by working on new fundamental ways to go from A to B. You are excited about joining a startup. You are able to think in abstract ways, come up with solutions to tough engineering challenges, and you are willing to implement and work directly on the aircraft. You are comfortable with extremely fast-paced environments and limited budgets.",,Sr. Cloud Software Engineer - NASA Goddard Space Center. (ID542),,,$61K - $123K (Glassdoor est.),,"Riverdale, MD"
432,CareJourney,3.6,Health Care,51 to 200 Employees,"Sure Secure Solutions’ NASA EED-3 Program is seeking a Principal Software Engineer to work in a fast-paced Agile development environment performing operations, design, and development for the NASA Earthdata Cloud. Earthdata Cloud is a core capability in NASA’s Earth Observing System Data Information System (EOSDIS), which provides end-to-end capabilities for managing NASA’s Earth science data from various sources – satellites, aircraft, field measurements, and other programs.
As an Principal Software Engineer on the EED-3 team, you will ensure adherence to operational agreements and polices (including response times), compliance to program and NASA standards and requirements (including Section 508 compliance), leveraging of industry best practices for automation and scalability of assets, and implementation of issue detection and alerts.
Required Experience, Knowledge, and/or Skills:
Bachelor degree and at least 10 years of engineering experience.",Health Care Services & Hospitals,"Healthcare Data Analyst, Member Services",Unknown / Non-Applicable,Company - Private,$61K - $123K (Glassdoor est.),2015,"Arlington, VA"
433,C3 AI,,Information Technology,501 to 1000 Employees,"CareJourney’s mission is to empower individuals and organizations they trust with open, clinically-relevant analytics and insights in the pursuit of the optimal healthcare journey. We are a fast-growing start-up in Arlington, VA that builds software products to serve industry-leading customers that include Pfizer, Humana, and Microsoft. Our founders and leadership developed the policy and technology in the public and private sector that shape the work we do today. We are looking for driven professionals that are excited to join a growing business where they will have a strong voice in the direction and success of the company. Our culture embraces teamwork and cross-functional collaboration for a fun and exciting environment.

We are looking for a talented, motivated, and high-performing Analyst to join our Member Services team. The Analyst will demonstrate strong analytic, project management and interpersonal skills to support assigned customers and projects. They will be responsible for performing analyses to inform member’s business strategies and decisions, communicating and delivering on key milestones based on member priorities, and supporting the development and deployment of CareJourney’s suite of insights, products and services to its member-base.",Enterprise Software & Network Solutions,Manager - Applications Software Engineering,$100 to $500 million (USD),Company - Public,$61K - $123K (Glassdoor est.),2009,"Redwood City, CA"
434,ASR ANALYTICS LLC,4.5,Information Technology,501 to 1000 Employees,"C3.ai, Inc. (NYSE:AI) is a leading provider of Enterprise AI software for accelerating digital transformation. C3 AI delivers a family of fully integrated products: C3 AI® Suite, an end-to-end platform for developing, deploying, and operating large-scale AI applications; C3 AI Applications, a portfolio of industry-specific SaaS AI applications; C3 AI CRM, a suite of industry-specific CRM applications designed for AI and machine learning; and C3 AI Ex Machina, a no-code AI solution to apply data science to everyday business problems. The core of the C3 AI offering is an open, model-driven AI architecture that dramatically simplifies data science and application development. Learn more at: www.c3.ai
C3 AI is looking for a manager to provide leadership and direction to the applications software engineering team of bright and ambitious self-starters like yourself. You will be part of a fast-moving organization with highly motivated engineers who tackle challenging and impactful problems. This management position is highly visible, will require frequent communication and interactions with the senior leadership team, and will require a driven individual taking on the responsibilities to develop and shape the product roadmap and strategic team goals.",Enterprise Software & Network Solutions,Graph Data Engineer / Analyst,,Company - Public,$61K - $123K (Glassdoor est.),2009,"Washington, DC"
435,"Resource Management Concepts, Inc.",4.1,$1 to $5 million (USD),1 to 50 Employees,"ASR Analytics is looking for a Graph Data Engineer / Analyst to join our growing and dynamic team. We specialize in developing data science applications used to identify fraud, non-compliance, and other forms of criminal activity. The ideal candidate will have experience designing, building, and analyzing graph databases using tools such as SQL, Cypher, Java, Bash, Hadoop, Spark, and Elastic. As a Data Engineer at ASR, you will work with data scientists and machine learning engineers to build international scale artificial intelligence systems to identify and refer civil and criminal forms of fraud and non-compliance. You will work on data transformation projects, data warehouses, proof of concepts, and machine learning systems to drive automation and serve data to downstream applications and end users. You will build data pipelines, knowledge graphs, and Machine Learning algorithms to empower customers and meet specific client goals.

Develop data models for graph databases.",Accounting & Legal,Risk Management Framework (RMF) Engineer,,Accounting,$61K - $123K (Glassdoor est.),Private Practice / Firm,"Charleston, SC"
436,AccruePartners,4.1,Business Services,201 to 500 Employees,,Consulting,Data Analyst,$25 to $50 million (USD),Company - Private,$61K - $123K (Glassdoor est.),1994,North Carolina
