,Revenue,Company Name,Sector,Salary Estimate,Location,Type of Ownership,Industry,Job Title,Founded,Rating,Job Description,Size
483,,Toyota,,$53 Per Hour(Employer est.),"Plano, TX",Company - Public,$25 to $50 million (USD),Junior Data Scientist,1989,1.5,"Title: Data Engineer
Location: 100% Remote
Rate: $55/hr
Contract: Minimum 1 year

Must Have:
SQL
Hive
Python
Light UNIX",51 to 200 Employees
484,$10+ billion (USD),Amer Technology In,Manufacturing,$53 Per Hour(Employer est.),"Austin, TX",Company - Public,Transportation Equipment Manufacturing,Data Scientist,1957,3.9,"Who We Are
Collaborative. Respectful. A place to dream and do. These are just a few words that describe what life is like at Toyota. As one of the world's most admired brands, Toyota is growing and leading the future of mobility through innovative, high-quality solutions designed to enhance lives and delight those we serve. We're looking for diverse, talented team members who want to Dream. Do. Grow. with us.
An important part of the Toyota family is Toyota Financial Services (TFS), the finance and insurance brand for Toyota and Lexus in North America. While TFS is a separate business entity, it is an essential part of this world-changing company – delivering on Toyota's vision to move people beyond what's possible. At TFS, you will help create best-in-class customer experiences in an innovative, collaborative environment.
Who We're Looking For",10000+ Employees
485,,Interview Query,,$53 Per Hour(Employer est.),Remote,,,Data Science Content Developer,,,"Data Scientist Roles and Responsibilities
1. Accomplish the assigned activities and deliverables within project scope and schedule;
2. Lead focus group sessions or other information gathering sessions as needed, with active participation from subject matter experts and other stakeholders;
3. Work collaboratively with System Agency staff;
4. Escalate barriers and other issues to HHSC OIG as appropriate, immediately escalating concerns that may result in project implementation delays or increased costs;
5. Review, acknowledge in writing, and maintain consistent compliance with HHSC OIG’s applicable computer usage, security, privacy, confidentiality and non-disclosure policies;",
486,,Allstate,,$53 Per Hour(Employer est.),"Northbrook, IL",,,Avail - Staff Data Scientist (Remote Home Based Worker),,,"Interview Query is a small data science startup completely remote! Our mission is to help anyone in the data science field pass their interviews and land a data science job with our data science preparation materials.
To help fuel our next phase of growth, we are seeking a high-energy and ambitious Data Science Content Developer to help us with creating learning materials. As a key hire in product and operations, this person's responsibility will be to work on sharing their expertise in data science, analytics, and machine learning to our broader customer base.
You will have the opportunity to work with the founders towards learning how to build a business and grow a business while writing to a target technical demographic. You will have a large scope of responsibility with the ability to see the results of your work reflected immediately. This is a great experience for anyone interested in entrepreneurship.
This is a part time role and is extremely flexible.",
487,$10+ billion (USD),Pacific Northwest National Laboratory,Insurance,$53 Per Hour(Employer est.),"Richland, WA",Company - Public,Insurance Agencies & Brokerages,Data Scientist,1931,3.5,"Avail is a car sharing service to help people get where they want to go–whether that’s to run errands, take an unforgettable road trip, or explore a new city–while helping locals earn cash from their unused cars. We are passionate about making shared transportation safe, simple, and affordable, and redefining what it means to own a car.

We’ve assembled some of the sharpest folks from across industries to compete against the antiquated system of traditional car rental. We put ideas into action and learn along the way in an open, collaborative work environment. As a part of Avail, you’ll make a direct impact and help build a business from the ground up. No matter where you’ve been, we’re always looking for fresh thinking and new perspectives.
Job Summary",10000+ Employees
488,$500 million to $1 billion (USD),Spotify,"Oil, Gas, Energy & Utilities",$53 Per Hour(Employer est.),"New York, NY",Government,Energy,"Machine Learning Research Scientist, Algorithmic Impact & Responsibility",1965,4.1,"Organization and Job ID
Job ID: 312391
Directorate: Physical & Computational Sciences
Division: Advanced Computing, Mathematics & Data
Group: Data Sciences & Machine Intelligence
Job Description
The Data Sciences & Machine Intelligence group in the Advanced Computing, Mathematics, and Data Division at PNNL seeks a multifaceted Data Scientist to join the group to lead and support scientific research in the broad areas of data science, machine intelligence, and autonomous learning and reasoning. This is an excellent opportunity to hone and develop your scientific career in an outstanding research institution by joining an interdisciplinary research team that focuses on accelerating scientific discovery. The primary emphasis of this position will be growing existing and adding new capabilities in the areas of Optimization, Machine Learning and Artificial Intelligence and help strengthen the group’s leadership in the emerging data science and machine intelligence fields. A successful candidate should have shown expertise in one or more of the following technical areas: optimization and optimization-based decision making, artificial intelligence and machine learning, and data analytics applied to modeling, diagnostics and control of cyber-physical systems, uncertainty quantification, system identification and model reduction, dynamical systems modeling and simulation, model predictive control, reinforcement learning algorithms, autonomous control and decision systems, and multi-agent systems.",1001 to 5000 Employees
489,Unknown / Non-Applicable,US Internal Revenue Service,Information Technology,$53 Per Hour(Employer est.),"Charlotte Amalie, VI",Company - Public,Internet,Mathematical Statistician (Data Scientist) or Statistician (Data Scientist),2006,4.2,"Data, Research & Insights
Trust & Safety
Spotify is seeking an experienced Researcher to join our Algorithmic Impact & Responsibility effort. This effort focuses on empowering Spotify teams to assess the algorithmic impact of their products on audio culture, avoid algorithmic harms and unintended data or machine learning side effects, and better serve worldwide audiences and creators.
Location
New York or Remote Americas
Permanent
Your role will be to further shape algorithmic responsibility at Spotify, set policy and processes, while developing practical methods to ensure equitable outcomes with product teams in practice. You will ensure a better understanding of Spotify’s impact, as well as product-specific auditing methods that encourage equity in music and podcasts. You will increase our abilities to understand the effects of data, machine learning and recommendation choices on listener and creator communities, including topics such as information access and community growth.",5001 to 10000 Employees
490,,NSI Inc.,,$53 Per Hour(Employer est.),Remote,Government,,Data Scientist,1862,3.7,"Duties
Summary
Click on """" button below to view Eligibilities being considered and other IMPORTANT information.

WHERE CAN I FIND OUT MORE ABOUT OTHER IRS CAREERS? Visit us on the web at www.jobs.irs.gov

Responsibilities
WHAT IS THE RESEARCH, APPLIED ANALYTICS, AND STATISTICS (RAAS) DIVISION?
A description of the business units can be found at: https://www.jobs.irs.gov/about/who/business-divisions

The following are the duties of this position at the full working level. If you are selected at a lower grade level, you will have the opportunity to learn to perform these duties and will receive training to help you grow in this position.",10000+ Employees
491,,Okaya Inc,,$53 Per Hour(Employer est.),Remote,,,Data Scientist (IBM WATSON),,,"NBI (commercial arm of NSI Inc) is looking for two data scientists to support one of our video game clients. The client is based in Europe (UK), but the person we hire for this position can work from anywhere. Please note, however, that only candidates who are currently authorized to work for any employer in the USA will be considered. The ideal candidate must be fluent in ensemble forecasting methods, and be able to program in R. 1-2 years of advanced, hands-on client-side experience with writing SQL queries (or similar) is a basic requirement. Video game experience is strongly preferred, as well as proven ability to work collaboratively in teams, and balancing multiple tasks. We are looking for people who will represent our brand with a great attitude, who like to have fun at work, can function well remotely, and are technically competent. Completed Master’s degree in statistics, data science, behavioral science, or related field is required.
Job Types: Full-time, Contract
Pay: From $85.00 per hour",
492,$10+ billion (USD),Cisco Systems,,$53 Per Hour(Employer est.),"San Jose, CA",,,Data Visualization Engineer,,,"Job Description:
· Looking for Data Scientist with prior experience in Healthcare Analytics domain.
· Need someone preferably with IBM Watson Assistant experience. If not any other platforms such as MS Bot framework or Google Dialog Flow experience is fine.
· For initial ChatBot development – Analyze call logs, online chat transcripts, web and mobile usage to determine a prioritized list of suggested intents to create. Once the ChatBot is created – will use analytics data from IBM Watson Assistant to provide insights into overall Bot performance and areas of improvement.
Job Types: Full-time, Contract
Pay: Up to $80.00 per hour",
493,$10+ billion (USD),Denken Solutions Inc,Information Technology,$53 Per Hour(Employer est.),"Irvine, CA",Company - Private,Computer Hardware & Software,Data Science (100% Remote),1984,4.3,"Please note this posting is to advertise potential job opportunities. This exact role may not be open today, but could open in the near future. When you apply, a Cisco representative may contact you directly if a relevant position opens.
What You'll Do
Have you ever dreamt of joining a highly skilled team to build a groundbreaking product with a start-up spirit, yet the power of the top networking company in the world? This is the mission of our team. We are actively hiring highly skilled engineers, with a true passion for innovation. Our mission is to develop a new generation of routing engine for the Internet deeply using Data Analytics, Machine Learning (ML), and Artificial Intelligence (AI). The size, diversity, and richness of our data are simply unmatched. The Internet is changing fast, and we are too. The objective of this confidential product is to adopt a highly novel and ambitious approach for optimizing networks to better serve applications.
You will have a multi-faceted role, which covers data understanding and storytelling via visual analytics: You thrive in a dynamic environment that requires a rare blend of innovation and speed of execution. You are highly skilled in the trifecta for data visualization: visualization, statistical analysis and storytelling. You love playing with data and finding patterns that tell excellent data stories. You are skilled at extracting insights by applying visualization and statistical techniques from sophisticated, large and diverse datasets. You will research, build and deploy visualization frameworks for large datasets. You pride yourself on your communication and interpersonal skills, a keen eye for both aesthetic design and code. You have an ability to autonomously plan and organize your work assignments based on the objectives of the team. Who You'll Work With
Our team is made of engineers with a very diverse skillset united by their passion and the excitement of turning innovative ideas into products that impact the industry at large.
We love designing and implementing large-scale machine learning pipelines. Our technology stack includes Python, Scala, Go as well as a wide range of internal tools built on top of Apache Spark, TensorFlow, PostgreSQL and the Hadoop ecosystem. Who You Are
An agile, pragmatic, and hardworking engineer with experience in providing simple and intuitive visualization of sophisticated and intricate datasets. You love technology, innovation, and building products at scale.
You hold a degree in Computer Science or a related field with at least 6 years of experience. You can demonstrate a large portfolio of beautiful, intuitive, and interactive infographics that demonstrates your key strengths: Broad experience in turning diverse and sophisticated data into meaningful visualization. Attention to detail and an eye for aesthetic design. Experienced in Javascript (ES6) and data visualization technologies such as D3.js, Canvas, or WebGL. Knowledge of web frameworks (e.g., React) is a plus. Excellent quantitative, analytical, and communication skills; past experience working with mathematicians, scientists, or journalists is valuable. Excellent English spoken and written skills (C1 level) are a requirement. We Are Cisco
#WeAreCisco, where each person is unique, but we bring our talents to work as a team and make a difference powering an inclusive future for all.
We embrace digital, and help our customers implement change in their digital businesses. Some may think we’re “old” (36 years strong) and only about hardware, but we’re also a software company. And a security company. We even invented an intuitive network that adapts, predicts, learns and protects. No other company can do what we do – you can’t put us in a box!
But “Digital Transformation” is an empty buzz phrase without a culture that allows for innovation, creativity, and yes, even failure (if you learn from it.)
Day to day, we focus on the give and take. We give our best, give our egos a break, and give of ourselves (because giving back is built into our DNA.) We take accountability, bold steps, and take difference to heart. Because without diversity of thought and a dedication to equality for all, there is no moving forward.
So, you have colorful hair? Don’t care. Tattoos? Show off your ink. Like polka dots? That’s cool. Pop culture geek? Many of us are. Passion for technology and world changing? Be you, with us!",10000+ Employees
494,$25 to $50 million (USD),Nestria,Information Technology,$53 Per Hour(Employer est.),Remote,Company - Private,IT Services,Python & Data Science Mentor,2010,4.2,"Role: Data Science

Location: Remote

Duration: contract ( W2 jobs)



Technology: Python Coding, SQL Database/Coding, Machine Learning and AI.

Experience: 2 to 6 years",201 to 500 Employees
495,Unknown / Non-Applicable,Spotify,Information Technology,$53 Per Hour(Employer est.),"New York, NY",Company - Public,Internet,"Data Scientist, Creation Platform",2006,4.2,"Nestria is a network for learning and careers. We are seeking talented & experienced tech professionals to offer mentorship to applicants seeking jobs in the tech industry, and offer group mentorship sessions or classes to help their career journeys.
The primary thing that a mentee is looking for is support in their career. A lot of people will be in an early phase of their career where they are just starting out in an industry. They want help searching for a job, and understanding the different directions in which they can develop their career.
Ideal candidates are currently working in the tech industry. Feel free to apply if you think that you have adequate credentials to mentor job seekers for tech industry jobs in software development or data science.
Job Type: Part-time
Pay: $18.00 - $100.00 per hour",5001 to 10000 Employees
496,Unknown / Non-Applicable,BigRIO,Information Technology,$53 Per Hour(Employer est.),United States,Company - Public,Internet,Data Scientist,2006,4.2,"Data, Research & Insights
Data Science
About Creation Platform
Location
New York or Remote Americas
Job type
Permanent
Spotify is a global community of over 250 million music fans, artists, and now podcasters. It's always been our mission to make audio more accessible for everyone, and create innovative ways for creators and fans to connect with each other.

Creation Platform is the team within Spotify responsible for building the best tools for audio creators. We have two platforms that help us deliver a great creator experience: Anchor, (the platform that allows you to create, distribute, monetize, and grow a podcast, all for free;) and Spotify for Podcasters, (the platform that makes it easy to understand and engage with your listeners on Spotify.",5001 to 10000 Employees
497,,Netflix,,$53 Per Hour(Employer est.),"Los Angeles, CA",,,"Manager, Studio Production Data Science and Engineering",,,"Role: Data Scientist/ Research Scientist
Duration: Full time Role with Bigr.io
Location: Entirely Remote - US based – (East Coast Hours Preferred)
Ph.D is Mandatory
W2 consultants only
About US:
BigR.io is a technology consulting firm empowering data to drive innovation and advanced analytics. We specialize in cutting-edge Big Data, Machine Learning, and Custom Software strategy, analysis, architecture, and implementation solutions. We are an elite group with MIT roots, shining when tasked with complex missions. Whether it's assembling mounds of data from a variety of sources, surfacing intelligence with Deep Learning, or building high-volume, highly-available systems, we consistently deliver.",
498,$5 to $10 billion (USD),IntegrateUs Services,Information Technology,$53 Per Hour(Employer est.),Remote,Company - Public,Internet,Data Scientist,1997,4.2,"Los Angeles, California
Data Science and Engineering
Netflix is revolutionizing entertainment and shaping the evolution of storytelling around the world. We deliver billions of hours of movies and shows per month to more than 200 million accounts globally, reaching new audiences every day. Our data-driven culture allows us to continuously innovate and provide the best experience for our diverse member base.

The Studio Data Science and Engineering team at Netflix is a talented group of analytics engineers, data engineers and data scientists who help scale our rapidly expanding Studio efforts. We conduct analyses and develop analytic tools, build predictive models and algorithms using machine learning, all with the goal of creating more joy for our members. We work with Production leaders across Physical production, VFX, Post-production and Animation. Our stakeholders and culture support data-driven decision making and this uniquely positions us to innovate in the Production space.",5001 to 10000 Employees
499,,SquadMethod,,$53 Per Hour(Employer est.),Remote,,,Senior Data Consultant,,,"We are looking for a Full time contractor or employee for a Data Scientist role at one our client site.
NOTE: If you are interested and please apply to the applicant tracking system (ATS) link to be a qualified job applicant.
Apply to the below link is REQUIRED and will be _ considered as a valid job applicant._
https://app.unnanu.com/jobboard/apply/JID000001489?source=Indeed
Texas Health and Human Services Commission requires the services of 1 Data Scientist (Big Data Engineer) 2, hereafter referred to as Candidate(s), who meets the general qualifications of Data Scientist (Big Data Engineer) 2, Data/Database Administration and the specifications outlined in this document for the Texas Health and Human Services Commission.",
500,,Spotify,,$53 Per Hour(Employer est.),"New York, NY",,,"Backend Engineer, Data Science Platform",,,"Our Direct client needs Senior Consultants who worked on below technologies from Data perspective.
Technologies: Watson Studio, Watson Machine Learning, Python, Opensource Data Science Libraries
Responsibilities:
Activity1 - Data Understanding and Feature Engineering
Review historical performance data for CSR Assignments and root cause analysis and define technique for validation;
Review existing models for reuse, if any;
Evaluate available data sources and data source content for project relevancy; and
Engage in exploratory data analysis.",
501,Unknown / Non-Applicable,"Insight Enterprises, Inc.",Information Technology,$53 Per Hour(Employer est.),Remote,Company - Public,Internet,Assessment Engineer (Storage and Data Protection),2006,4.2,"Engineering
Backend
We are looking for backend engineers to join our team of hardworking engineers that share a common interest in distributed backend systems, ML, big data, their scalability and continued development. By joining the Data and Insights organization, you’ll be a key contributor in making the systems that power our large scale data processing, insights, and machine learning efforts more reliable. Above all, your work will change the way the world experiences music.
Location
New York or Remote Americas
Job type
Permanent",5001 to 10000 Employees
502,,Journey Foods,,$53 Per Hour(Employer est.),Texas,Unknown / Non-Applicable,,Data Scientist,Unknown,3.9,"Assessment Engineer – Data Protection and Storage
We areInsight Enterprises (NASDAQ: NSIT)
As a Fortune 500-ranked global provider of digital innovation, cloud/data center transformation, connected workforce, and supply chain optimization solutions and services, we help clients successfully manage their IT today while transforming for tomorrow.
From IT strategy and design to implementation and management, our employees help clients innovate and optimize their operations to run smarter.
Microsoft Worldwide Modern Desktop Partner of the Year, 2018",1 to 50 Employees
503,,Urbane Systems LLC,,$53 Per Hour(Employer est.),Remote,Unknown / Non-Applicable,,Data Engineer,Unknown,,"Journey Foods is hiring a business-savvy Data Scientist with at least three years of experience who is interested in a fast-paced and intrapreneurial environment. Key technical skills include data wrangling and visualization, model building and deployment, and machine learning. Journey Foods will rely on the Data Scientist to create data science workflows and communicate requirements across various business units. Fluency in Python is required. Candidate preferably based in Austin, TX although flexible teleworking options are available. Full-time employment; immediate start date.",1 to 50 Employees
504,,"PMCS Services, Inc",,$53 Per Hour(Employer est.),"Austin, TX",,,Data Scientist,,,"Looking for GCP Certified Data engineers.
Skills and Responsibilities
Design and develop stream and batch processing data pipelines
Ability to write intermediate to advanced Python and SQL for data ingestion and processing.
Support existing and develop new data flows as needed by developing processes that verify, standardize, and scale data input, transformation and storage.
Collaborate with product managers and other engineers to implement and document complex and evolving requirements
Research and implement innovative solutions to solve challenges related to ETL, data processing, and analytics.",
505,$10+ billion (USD),Facebook,Information Technology,$53 Per Hour(Employer est.),Remote,,,"Data Engineer, Product Analytics",,,"We are looking for a Full time/contract employee for a Data Scientist.
Accomplish the assigned activities and deliverables within project scope and schedule;
Lead focus group sessions or other information-gathering sessions as needed, with active participation from subject matter experts and other stakeholders;
Work collaboratively with System Agency staff;
Escalate barriers and other issues to HHSC OIG as appropriate, immediately escalating concerns that may result in project implementation delays or increased costs;
Review, acknowledge in writing, and maintain consistent compliance with HHSC OIG’s applicable computer usage, security, privacy, confidentiality and non-disclosure policies;
Develop a proposed project plan that aligns with the timeframes and milestones identified within the grant. Propose adjustments to the plan when needed as the project progresses and impacts to the overall project completion timeframe or key milestones to HHSC early and clearly to mitigate project risk;",
506,$10+ billion (USD),Newsly Technologies,Information Technology,$53 Per Hour(Employer est.),United States,Company - Public,Internet,Data Scientist,2004,4.3,"Every month, billions of people leverage Facebook products to connect with friends and loved ones from across the world. On the Data Engineering Team, our mission is to support these products both internally and externally by delivering the best data foundation that drives impact through informed decision making. As a highly collaborative organization, our data engineers work cross-functionally with software engineering, data science, and product management to optimize growth, strategy, and experience for over three billion users, as well as our internal employee community. In this role, you will see a direct correlation between your work, company growth, and user satisfaction. Beyond this, you will work with some of the brightest minds in the industry, and you'll have a unique opportunity to solve some of the most interesting data challenges around efficiency and integrity, at a scale few companies can match. As we continue to expand and create, we have a lot of exciting work ahead of us!
Manage and execute data warehouse plans for a product or a group of products to solve well-scoped problems.
Identify the data needed for a business problem and implement logging required to ensure availability of data, while working with data infrastructure to triage issues and resolve.
#LI-REMOTE",10000+ Employees
507,,Syrinx,,$53 Per Hour(Employer est.),Remote,,,Data Scientist - Remote,,,"Company description
Newsly is an audio news and content aggregator mobile application. It picks up the web articles about the most trending subjects on the web at any given moment and and reads it to you in a natural human voice using AI technology. For the first time in the history of the internet, the web becomes listenable!
Think of it as a new browser, but this time the audio is at the forefront.
It will give people suffering from dyslexia and people with visual impairments a new and better way to consume content. It is also meant for the general audio lovers who listen to spoken audio (podcasts, audio-books) an option to listen to topical content.
It is also targeting general audiophiles who consume spoken audio content (podcasts, audio-books) in a market growing at 30% a year. BTW, we got podcasts as well, so you don't have to switch to another app.",
508,Unknown / Non-Applicable,McKinsey & Company,Business Services,$53 Per Hour(Employer est.),"East Boston, MA",Company - Private,Consulting,Junior Data Engineer - QuantumBlack,1926,4.4,"10+ years Computer Science, Engineering, or other technical or scientific field with 3+ years focused on AI, machine learning, business intelligence or similar technologies • Ability to communicate complex data in a simple, actionable way • Ability to visualize data in the most effective way possible • Analytical and problem-solving skills • Familiarity with data management tools • Excellent attention to detail
Other helpful skills and knowledge: • Experience working with video/audio processing and/or transmission • Experience working with data related to IT systems – networks, servers, etc • Experience AWS SageMaker, Google Cloud AutoML, IBM Watson, Azure Machine Learning, or other self-serve cloud-based ML services • Experience with AIOps and ML commercial solutions such as bigpanda.io, logicmonitor.com, explorium.ai, etc • Experience with cloud hosted databases such as ElasticSearch or Hadoop and reporting and analysis solutions such as Kibana or Tableau",1 to 50 Employees
509,Unknown / Non-Applicable,Identical Soft,Business Services,$53 Per Hour(Employer est.),"Redmond, WA",Company - Private,Consulting,Data Scientist,1926,4.4,"Qualifications
Degree in computer science, engineering, mathematics or equivalent experience
Ability to write clean and maintainable code in an object-oriented language (e.g. Python, Scala, Java)
Experience building data pipelines in a professional setting (e.g. internship) is a plus
Familiarity with analytics libraries (e.g. pandas, numpy, matplotlib), distributed computing frameworks (e.g. Spark, Dask) and cloud platforms (e.g. AWS, Azure, GCP)
Exposure to software engineering concepts and best practices, inc. DevOps, DataOps and MLOps is beneficial
Willingness to travel",10000+ Employees
510,$10+ billion (USD),Microsoft,Information Technology,$53 Per Hour(Employer est.),United States,Company - Public,Computer Hardware & Software,Content Developer 1,1975,4.4,"Content Developer, Microsoft Machine Learning documentation
Are you excited by AI, machine learning, and big data, and want to work with them up close? Do you love to play with code, data, and analytics tools? Are you a creative thinker with a passion for making a difference?

We’re looking for an experienced, empathetic instructional writer with a talent for making complex technologies accessible. You’re organized and thrive on deadlines. You enjoy the challenge of bringing together contributors to tell a compelling story. You’re customer-obsessed and eager to show impact. You set priorities using data. You use SEO practices to drive traffic to your documentation.

BTW: You sound awesome, and we would love to talk to you!

Here we highly value your skills and your work-life balance. Location in the greater-Seattle area isn’t required.",10000+ Employees
511,$10+ billion (USD),Microsoft,Information Technology,$53 Per Hour(Employer est.),United States,Company - Public,Computer Hardware & Software,Delivery Data Science IC3,1975,4.4,"Content Developer, Microsoft Machine Learning documentation
Are you excited by AI, machine learning, and big data, and want to work with them up close? Do you love to play with code, data, and analytics tools? Are you a creative thinker with a passion for making a difference?

We’re looking for an experienced, empathetic instructional writer with a talent for making complex technologies accessible. You’re organized and thrive on deadlines. You enjoy the challenge of bringing together contributors to tell a compelling story. You’re customer-obsessed and eager to show impact. You set priorities using data. You use SEO practices to drive traffic to your documentation.

BTW: You sound awesome, and we would love to talk to you!

Here we highly value your skills and your work-life balance. Location in the greater-Seattle area isn’t required.",10000+ Employees
512,$10+ billion (USD),Pinnacle Group,Information Technology,$53 Per Hour(Employer est.),"Memphis, TN",Company - Public,Computer Hardware & Software,Data Engineer (Remote 667-1),1975,4.4,"OVERVIEW:

Are you ready to seize and opportunity to build advanced Artificial Intelligence (AI) and Machine Learning (ML) solutions leveraging the robust capabilities of the Microsoft Azure cloud? Do you thrive on taking a customer’s vision from brainstorming on a white board to operational capability that drives Digital Transformation? If so, then the Data Scientist role in Microsoft Consulting is the right career for you!

Microsoft Federal Consulting Services is dedicated to delivering on Microsoft’s mission to empower every person and every organization on the planet to achieve more. Our diverse team includes architects, data scientists, consultants, sales, and business leaders who serve our Federal government customer, including organizations in the Intelligence Community, National Security, Defense and Federal civilian agencies.

At Microsoft, we share knowledge, experiences, and resources to help each other achieve our career goals and grow both professionally and personally. We seek out people from diverse backgrounds who exhibit passion, technical competence, and experience in services delivery with complex projects or environments. Experience in this role will provide great opportunities to interact with pre-release versions, collaborate with product development teams and improve future versions of Microsoft products as a subject matter expert.",10000+ Employees
513,,Toyota,,$53 Per Hour(Employer est.),"Plano, TX",Company - Public,$25 to $50 million (USD),Junior Data Scientist,1989,1.5,"Title: Data Engineer
Location: 100% Remote
Rate: $55/hr
Contract: Minimum 1 year

Must Have:
SQL
Hive
Python
Light UNIX",51 to 200 Employees
514,$10+ billion (USD),Amer Technology In,Manufacturing,$53 Per Hour(Employer est.),"Austin, TX",Company - Public,Transportation Equipment Manufacturing,Data Scientist,1957,3.9,"Who We Are
Collaborative. Respectful. A place to dream and do. These are just a few words that describe what life is like at Toyota. As one of the world's most admired brands, Toyota is growing and leading the future of mobility through innovative, high-quality solutions designed to enhance lives and delight those we serve. We're looking for diverse, talented team members who want to Dream. Do. Grow. with us.
An important part of the Toyota family is Toyota Financial Services (TFS), the finance and insurance brand for Toyota and Lexus in North America. While TFS is a separate business entity, it is an essential part of this world-changing company – delivering on Toyota's vision to move people beyond what's possible. At TFS, you will help create best-in-class customer experiences in an innovative, collaborative environment.
Who We're Looking For",10000+ Employees
515,,Interview Query,,$53 Per Hour(Employer est.),Remote,,,Data Science Content Developer,,,"Data Scientist Roles and Responsibilities
1. Accomplish the assigned activities and deliverables within project scope and schedule;
2. Lead focus group sessions or other information gathering sessions as needed, with active participation from subject matter experts and other stakeholders;
3. Work collaboratively with System Agency staff;
4. Escalate barriers and other issues to HHSC OIG as appropriate, immediately escalating concerns that may result in project implementation delays or increased costs;
5. Review, acknowledge in writing, and maintain consistent compliance with HHSC OIG’s applicable computer usage, security, privacy, confidentiality and non-disclosure policies;",
516,,Allstate,,$53 Per Hour(Employer est.),"Northbrook, IL",,,Avail - Staff Data Scientist (Remote Home Based Worker),,,"Interview Query is a small data science startup completely remote! Our mission is to help anyone in the data science field pass their interviews and land a data science job with our data science preparation materials.
To help fuel our next phase of growth, we are seeking a high-energy and ambitious Data Science Content Developer to help us with creating learning materials. As a key hire in product and operations, this person's responsibility will be to work on sharing their expertise in data science, analytics, and machine learning to our broader customer base.
You will have the opportunity to work with the founders towards learning how to build a business and grow a business while writing to a target technical demographic. You will have a large scope of responsibility with the ability to see the results of your work reflected immediately. This is a great experience for anyone interested in entrepreneurship.
This is a part time role and is extremely flexible.",
517,$10+ billion (USD),Pacific Northwest National Laboratory,Insurance,$53 Per Hour(Employer est.),"Richland, WA",Company - Public,Insurance Agencies & Brokerages,Data Scientist,1931,3.5,"Avail is a car sharing service to help people get where they want to go–whether that’s to run errands, take an unforgettable road trip, or explore a new city–while helping locals earn cash from their unused cars. We are passionate about making shared transportation safe, simple, and affordable, and redefining what it means to own a car.

We’ve assembled some of the sharpest folks from across industries to compete against the antiquated system of traditional car rental. We put ideas into action and learn along the way in an open, collaborative work environment. As a part of Avail, you’ll make a direct impact and help build a business from the ground up. No matter where you’ve been, we’re always looking for fresh thinking and new perspectives.
Job Summary",10000+ Employees
518,$500 million to $1 billion (USD),US Internal Revenue Service,"Oil, Gas, Energy & Utilities",$53 Per Hour(Employer est.),"Charlotte Amalie, VI",Government,Energy,Mathematical Statistician (Data Scientist) or Statistician (Data Scientist),1965,4.1,"Organization and Job ID
Job ID: 312391
Directorate: Physical & Computational Sciences
Division: Advanced Computing, Mathematics & Data
Group: Data Sciences & Machine Intelligence
Job Description
The Data Sciences & Machine Intelligence group in the Advanced Computing, Mathematics, and Data Division at PNNL seeks a multifaceted Data Scientist to join the group to lead and support scientific research in the broad areas of data science, machine intelligence, and autonomous learning and reasoning. This is an excellent opportunity to hone and develop your scientific career in an outstanding research institution by joining an interdisciplinary research team that focuses on accelerating scientific discovery. The primary emphasis of this position will be growing existing and adding new capabilities in the areas of Optimization, Machine Learning and Artificial Intelligence and help strengthen the group’s leadership in the emerging data science and machine intelligence fields. A successful candidate should have shown expertise in one or more of the following technical areas: optimization and optimization-based decision making, artificial intelligence and machine learning, and data analytics applied to modeling, diagnostics and control of cyber-physical systems, uncertainty quantification, system identification and model reduction, dynamical systems modeling and simulation, model predictive control, reinforcement learning algorithms, autonomous control and decision systems, and multi-agent systems.",1001 to 5000 Employees
519,Unknown / Non-Applicable,Spotify,Information Technology,$53 Per Hour(Employer est.),"New York, NY",Company - Public,Internet,"Machine Learning Research Scientist, Algorithmic Impact & Responsibility",2006,3.7,"Duties
Summary
Click on """" button below to view Eligibilities being considered and other IMPORTANT information.

WHERE CAN I FIND OUT MORE ABOUT OTHER IRS CAREERS? Visit us on the web at www.jobs.irs.gov

Responsibilities
WHAT IS THE RESEARCH, APPLIED ANALYTICS, AND STATISTICS (RAAS) DIVISION?
A description of the business units can be found at: https://www.jobs.irs.gov/about/who/business-divisions

The following are the duties of this position at the full working level. If you are selected at a lower grade level, you will have the opportunity to learn to perform these duties and will receive training to help you grow in this position.",10000+ Employees
520,Unknown / Non-Applicable,Cisco Systems,Information Technology,$53 Per Hour(Employer est.),"San Jose, CA",Company - Public,Internet,Data Visualization Engineer,2006,4.2,"Data, Research & Insights
Trust & Safety
Spotify is seeking an experienced Researcher to join our Algorithmic Impact & Responsibility effort. This effort focuses on empowering Spotify teams to assess the algorithmic impact of their products on audio culture, avoid algorithmic harms and unintended data or machine learning side effects, and better serve worldwide audiences and creators.
Location
New York or Remote Americas
Permanent
Your role will be to further shape algorithmic responsibility at Spotify, set policy and processes, while developing practical methods to ensure equitable outcomes with product teams in practice. You will ensure a better understanding of Spotify’s impact, as well as product-specific auditing methods that encourage equity in music and podcasts. You will increase our abilities to understand the effects of data, machine learning and recommendation choices on listener and creator communities, including topics such as information access and community growth.",5001 to 10000 Employees
