,Revenue,Job Title,Location,Company Name,Rating,Size,Sector,Founded,Salary Estimate,Type of Ownership,Job Description,Industry
537,$10+ billion (USD),Finance Data Domain Owner,"Boston, MA",MassMutual,,,Insurance,1851,$61K - $118K (Glassdoor est.),Company - Private,"Dermacare LLC (DBA BlueChew) is on a mission to build highly scalable and intelligent telemedicine services platform. Join our team and report to the CMO as a full-time, in-house Senior Marketing Data Scientist of a rapidly growing company in Chicago.
Job Description:
Use your combination of technical skills and marketing analytics expertise to find useful insights and make meaningful recommendations. You will be responsible for turning an ad-hoc collection of metrics, reports, and dashboards into a coherent framework for collecting data, building models, and using those things to evaluate the performance of marketing strategies.
You will work with our marketing team and agency partners to make sure reporting and analysis is consistent with that framework, to ensure that all stakeholders have a common understanding of what is being measured and why. You will work with our engineering team to ensure that the data coming in and out of our systems is also consistent with that framework, to reconcile and combine data from multiple sources, and to help identify gaps in the data and opportunities to collect, create, or transform relevant information.",Insurance Carriers
538,$10+ billion (USD),Data Scientist,"San Jose, CA",Thermo Fisher Scientific,3.8,10000+ Employees,Biotech & Pharmaceuticals,1902,$61K - $118K (Glassdoor est.),Company - Public,"The Opportunity

As the Finance Data Domain Owner, you will have significant interaction and partnership with the finance data owners and other MassMutual data leaders. You will play a key role in driving culture change to enable data access, self-service, and usage across Corporate Finance to allow users to become fluent in using data with best practices. You will partner with the technology team to leverage emerging enterprise technology capabilities in data enablement and consumption; deliver efficient and optimized financial data related processes; execute a strong governance oversight. As the Finance Data Domain Owner, you will report to the Director of Finance Data Operations.

The Team

The Finance Data Management team, within Controller’s group, manages financial data domains used by MassMutual and supports significant financial applications. The team take lead in three areas data innovation & efficiency, data governance, partnership with business and technology. The team supports a broad set of financial applications including general ledger, sub-ledgers, planning, reporting and treasury tools. Our vision is be the expert data management function to champion and democratize optimized financial data, in turn enabling self-service across Corporate Finance to be a best-in-class strategic finance team.

The Impact

We are looking for a data management professional who can deliver business value by supporting financial data enablement, governance and consumption. The key responsibilities:
Works with data owners to translate business requirements to data requirements
Provides support to data projects to meet standards
Builds a strong engagement with Enterprise Technology and Customer Experience (ETX) organization to manage data on-boarding to the data lake
Performs data governance in compliance with enterprise data governance policy and standards
Identifies critical data elements and document their metadata and lineage
Governs the data life cycle of data domains from inception to production in data lake
Documents data quality and transformation rules appropriately
Reduce manual touchpoints through manual spreadsheets used to load data into data lake
Facilitates remediation of finance data management-related issues
Maintains MassMutual internal control standards

The Minimum Qualifications
3+ years of work experience in the financial data management role
Bachelor’s degree in data science/engineering, statistics, finance, accounting or related field
Experience in financial data for financial shared services, financial reporting or regulatory reporting
Experience in data governance
Innate desire to provide excellent service to clients
Demonstrated skills of business analysis and data management
Organized and detail-oriented; multi-task various responsibilities
Ability to think critically and demonstrate good judgment
Excellent interpersonal and verbal skills
Ability to work well under pressure and manage multiple deliverables

The Ideal Qualifications
5+ years of work experience in the financial data management role
Experience in data domain management of financial data for financial shared services, financial reporting or regulatory reporting
Experience in data governance
Experience in a Corporate Finance function
Experience with life insurance, annuities, DI. data domain owner i.e. Capital, Invested Assets, expenses, flows and insurance
Experience in working for finance data oversight
Excellent relationship building, influencing and communication skills
Ability to think critically and demonstrate good judgment
Ability to work well under pressure and manage multiple deliverables
Master’s degree, MBA, PMP certified

What to Expect as Part of MassMutual and the Team
Regular meetings with the Finance Data Management Team
Focused one-on-one meetings with your manager
Access to mentorship opportunities
Networking opportunities including access to Asian, Hispanic/Latinx, African American, women, LGBTQ, veteran and disability-focused Business Resource Groups
Access to learning content on Degreed and other informational platforms
Your ethics and integrity will be valued by a company with a strong and stable ethical business with industry leading pay and benefits

About MassMutual

We’ve been around since 1851. During our history, we’ve helped millions of people find financial freedom, offer financial protection, and plan for the future.
Today, we continue to develop meaningful relationships with our customers by building their trust, being knowledge problem solvers and always prioritizing their needs. MassMutual is guided by a single purpose: We help people secure their future and protect the ones they love. As a company owned by our policyowners, we are defined by mutuality and our vision to put customers first. It’s more than our company structure – it’s our way of life.

MassMutual was recognized as an Ethisphere 2020 World’s Most Ethical Company, a Top Place to Work in 2020 according to The Boston Globe and named among America’s Best Employers for Diversity according to Forbes 2020.

MassMutual is an Equal Employment Opportunity employer Minority/Female/Sexual Orientation/Gender Identity/Individual with Disability/Protected Veteran. We welcome all persons to apply. Note: Veterans are welcome to apply, regardless of their discharge status.

#LI-LC1

MassMutual is an Equal Employment Opportunity employer Minority/Female/Sexual Orientation/Gender Identity/Individual with Disability/Protected Veteran. We welcome all persons to apply. Note: Veterans are welcome to apply, regardless of their discharge status.",Biotech & Pharmaceuticals
539,$10+ billion (USD),Data Analyst,North Carolina,AccruePartners,3.8,10000+ Employees,Biotech & Pharmaceuticals,1902,$61K - $118K (Glassdoor est.),Company - Public,"Data Scientist (Remote, for these locations: San Jose, CA; Hillsboro, OR; Asheville, NC; Waltham, MA; East Coast US)
When you’re part of the team at Thermo Fisher Scientific, you’ll do important work, and you’ll be valued and recognized for your performance. With talented managers and inspiring coworkers to support you, you’ll find the resources and opportunities to make significant contributions to the world.
What we are looking for:
Our Data Scientists will play a leading strategic role on Thermo Fisher Scientific’s Digital Innovation Services Data Science team who will develop and maintain cutting-edge machine learning systems. In this role you will push the boundaries of remote instrument technology through optimization of cloud ecosystems and complex data integration.

Thermo Fisher Scientific is an EEO/Affirmative Action Employer and does not discriminate on the basis of race, color, religion, sex, sexual orientation, gender identity, national origin, protected veteran status, disability or any other legally protected status.",Biotech & Pharmaceuticals
540,$10+ billion (USD),Data Scientist / Engineer - Senior / Experienced Level,"Aliso Viejo, CA","AWM Smart Shelf (Adroit Worldwide Media, Inc.)",3.8,10000+ Employees,Biotech & Pharmaceuticals,1902,$61K - $118K (Glassdoor est.),Company - Public,"Data Scientist (Remote, for these locations: San Jose, CA; Hillsboro, OR; Asheville, NC; Waltham, MA; East Coast US)
When you’re part of the team at Thermo Fisher Scientific, you’ll do important work, and you’ll be valued and recognized for your performance. With talented managers and inspiring coworkers to support you, you’ll find the resources and opportunities to make significant contributions to the world.
What we are looking for:
Our Data Scientists will play a leading strategic role on Thermo Fisher Scientific’s Digital Innovation Services Data Science team who will develop and maintain cutting-edge machine learning systems. In this role you will push the boundaries of remote instrument technology through optimization of cloud ecosystems and complex data integration.

Thermo Fisher Scientific is an EEO/Affirmative Action Employer and does not discriminate on the basis of race, color, religion, sex, sexual orientation, gender identity, national origin, protected veteran status, disability or any other legally protected status.",Biotech & Pharmaceuticals
541,$100 to $500 million (USD),Data Engineer,"Fort Bragg, NC",Mission Essential,3.8,1001 to 5000 Employees,Aerospace & Defense,2004,$61K - $118K (Glassdoor est.),Company - Private,,Aerospace & Defense
542,$25 to $50 million (USD),Data Scientist - Intermediate,United States,Envision LLC,3.8,201 to 500 Employees,Business Services,1994,$61K - $118K (Glassdoor est.),Company - Private,"The Data Engineer will be part of a team that consists of a Data Scientist, Data Analyst, and Analytic (Full Stack) Developer. This position is for a proposal and the expected start of work is Fall 2021, get your application in today!
The Data Engineer shall:
· Discover opportunities for data acquisition, identify relevant data sources and sets and shall provide data system enhancements as required, including but not limited to product reformatting and data quality assessments to support the acquisition of new datasets.
· Design, develop, test and manage the overall architecture that helps analyze and process data in accordance with unit’s SOPs, TTPs and other such templates.
· Integrate external or new datasets into existing data pipelines.",Staffing & Outsourcing
543,$25 to $50 million (USD),"Software Data Engineer, Python","Boston, MA",MassMutual,4.5,201 to 500 Employees,Business Services,1994,$61K - $118K (Glassdoor est.),Company - Private,"Basic Qualifications:
PhD with 1 year of experience or MS with 2 years of experience in Data Science, Machine Learning, Statistics, Applied Mathematics, or another highly quantitative discipline.
Demonstrated experience building predictive deep learning models.
Strong Python coding skills for data analysis and modeling, including experience with standard data science packages (numpy, pandas, matplotlib, seaborn, sklearn).
Ability to learn new quantitative domains and modeling techniques.
Self-motivated and able to work independently as well as part of a team.
Strong communication skills for interactions with team members.",Staffing & Outsourcing
544,$50 to $100 million (USD),"Manager, Business Operations","San Francisco, CA",Funding Circle US,3.9,5001 to 10000 Employees,,1851,$61K - $118K (Glassdoor est.),Company - Private,"Since 1851, MassMutual’s commitment has always been to help people protect their families, support their communities, and help one another. This is why we want to inspire people to Live Mutual. We are people helping people.
A career with us means you will work alongside exceptional people and be empowered to reach your professional and personal goals. Our employees are the foundation of what makes MassMutual a strong, stable and ethical business. We seek and value unique and varied perspectives and experiences because we believe we are stronger when all voices are heard. We invite you to bring your bright, innovative ideas to MassMutual as we continue to help millions of Americans rely on each other.
Together, we are stronger
What great looks like in this role
Our ideal candidate is someone who enjoys designing, building and delivering complex systems. You love coding and revel in finding elegant solutions to difficult problems. You understand the challenges of handling data at scale and are always looking for opportunities to leverage open-source tools to accelerate development. You are passionate about learning new technologies, are team orientated and a strong communicator.
Objectives of the role
Design, develop and deliver scalable, robust and highly re-usable components in the cloud
Participate in all aspects of development from design to delivery, acting as both developer and component lead
Interact closely with data users, including data engineers and data scientists to understand & refine requirements
Develop code, write unit tests and conduct code reviews
Debug and troubleshoot problems in code and data pipelines
Evaluate and recommend tools, technologies, processes and reference architectures
Identify areas for process improvement and automation
Collaborate closely with developers and provide mentorship as appropriate
Work in Agile development environment, attending daily stand-up meetings and delivering incremental improvements.

Basic Qualifications
5+ years of experience as a Python developer
Strong foundation in algorithms, design patterns and writing efficient code
Good understanding of data and experience with database technologies (e.g. SQL, Vertica, Redshift, Snowflake)
Experience with source control and CI/CD tools (e.g. Jenkins)
Proficient in writing unit, integration and load tests
Excellent communication, problem solving, organizational and analytical skills
Able to work independently and to provide leadership to small teams of developers
Preferred Qualifications
2+ years building and deploying to AWS cloud environments
2+ years using Apache Spark or similar big data technologies
Experience using streaming technologies such as Apache Kafka, Apache Spark Streaming or Apache Flink

MassMutual is an Equal Employment Opportunity employer Minority/Female/Sexual Orientation/Gender Identity/Individual with Disability/Protected Veteran. We welcome all persons to apply. Note: Veterans are welcome to apply, regardless of their discharge status.",Insurance Carriers
545,$50 to $100 million (USD),Sr. Data Scientist,"Irvine, CA",Union Bank,3.9,501 to 1000 Employees,Finance,2010,$61K - $118K (Glassdoor est.),Company - Private,"Who are we?
We want to help small businesses win. That’s why we’re here.

We connect small business owners to investors – to create jobs, support local communities and power economies – because we believe that people are made to do more. And we want to help them realize their goals.
So, we created the leading small business loan platform. At the end of 2020, Investors had lent $15.2 billion in 143,000 loans to 100,000 small business owners globally. There’s never been a better time to join!
Be part of the team that changes everything. Let’s build the place where small businesses can get the funding they need to win and leave a legacy behind, forever.",Lending
546,$10+ billion (USD),Head of Credit Risk Analytics,"Boston, MA",MassMutual,3.9,5001 to 10000 Employees,Insurance,1851,$61K - $118K (Glassdoor est.),Company - Private,"Are you passionate about creating an exceptional client experience?
Discover your opportunity with Union Bank®, a division of the Mitsubishi UFJ Financial Group (MUFG), the 5th largest financial group in the world. At Union Bank, we have our clients’ best interest in mind and draw on more than 160 years of experience to understand their distinct needs to tailor our solutions. We’re part of 180,000 colleagues around the globe striving to be the world’s most trusted financial group, knowing that trust starts with a culture of putting people first and empowering you to achieve your potential. Join Union Bank, where being inspired is expected and creating results is rewarded.

The Data Scientist will be conducting statistical, diagnostic, and predictive analytics in partnership with our marketing, digital and product teams to turn data into critical information and knowledge that can be used to make business decisions. This individual must function in a fast-paced environment, be adaptable to the changing processes and technology related to the business intelligence and analytical space.",Insurance Carriers
547,$10+ billion (USD),Head of Channel and Business Risk,"Boston, MA",MassMutual,3.9,5001 to 10000 Employees,Insurance,1851,$61K - $118K (Glassdoor est.),Company - Private,"This is an opportunity to join MassMutual, an organization that is committed to be the best company in the industry based on superior financial strength, high dividends and delivery of a high quality customer experience. It’s about our customers – and keeping them at the center of all that we do. Seeing ourselves as our customers do: as MassMutual – One company, one culture, one brand all working toward a shared purpose…. To help people secure their future and protect the ones they love.

Core to this vision is Risk. We are seeking a Head of Credit Risk Analytics within the Capital & Investment Risk Management team. This leader will ensure the capital, credit, and portfolio risk teams, and ERM more broadly, provide timely and value-added insights of risk and reward to influence decision-making at the executive level. In this capacity, he/she will help to protect and enable MassMutual to achieve its strategy, across financial strength, long-term growth, and talent and culture objectives. He/she will work closely with the Head of Credit Risk Management and the Head of Economic Value Asset Analytics, as well as partner with other stakeholders across ERM & CIO to provide leadership in developing and communicating investment risk-related insights and recommendations, with a particular emphasis on MassMutual’s credit risk exposures. In collaboration with internal stakeholders in ERM, CIO and Technology, he/she will enhance ERM’s credit risk analytical and reporting capabilities, by expanding the use of existing models as well as designing and developing new tools to provide required insights to monitor and manage these risks.


Head of Capital & Investment Risk Management
A key to success in this position will be the ability to work collaboratively with the Head of EV Asset Analytics, Head of Credit Risk Management, Head of Portfolio Risk Management, other teams in Enterprise Risk Management; portfolio managers, asset managers, traders and analysts for the general account (through the CIO’s organization) and MassMutual’s asset management subsidiaries; enterprise technology (including data science) teams.


The Head of Credit Risk Analytics will be a leader within the ERM Capital & Investment Risk team, with a particular focus on enhancing credit risk analytical and reporting capabilities. He/she will help to shape the vision, and drive the evolution of the team, earning confidence and trust from stakeholders and team members through accountability, collaboration and communication. Responsibilities will include:
Building on MassMutual’s current approach, develop and syndicate a comprehensive framework for measuring portfolio credit risk for MassMutual, that considers different accounting and capital regimes, including asset and liability impacts, with a particular emphasis on economic capital
Enhance ERM’s analytical capabilities related to credit migration, default and spread risk across a wide range of fixed income asset classes, incorporating data processes, methodology and assumption enhancements, and expanded use of Moody’s credit risk tools in place at MassMutual today
Maintenance and enhancement of counterparty credit risk analytics and reporting (e.g., related to derivatives, reinsurance and banking counterparty exposures) to support credit risk and capital risk management
In collaboration with stakeholders in ERM and CIO, develop and recommend credit risk focused stress tests, risk guidelines and limits to support the enterprise risk apppetite and ongoing measurement and management of these exposures
Develop and enhance dashboards and reports that synthesize analysis and provide senior management with relevant insights and recommended actions
Expand ERM’s analytical capabilities including use of economic scenario generators to support market, credit and capital risk analysis, and stress and scenario testing, including credit downgrade scenarios
Strengthen ERM’s use and development of tools and analytics to support derivatives counterparty risk, country risk, portfolio concentration risk
Conceive and execute complex projects across multiple teams, applying change management, influencing, and communication skills
Together with the Head of EV Asset Analytics, lead, mentor, and develop a team of quantitative analysts who support the Capital & Investment Risk team, and create an environment where the team is inspired, engaged and motivated


10+ years of relevant work experience working in investment or credit risk quantitative analytics ;
Extensive experience in quantitative credit risk modeling across a wide range of asset classes
Previous experience working on liability driven investing projects within an insurance company
Understanding of derivatives, quantitative management and experience working with insurance products
Experience in using Moody’s Analytics credit risk tools, notably RiskFrontier and ImpairmentStudio
Understanding and experience of CECL requirements and implementation
Working knowledge and experience working on ESG initiatives
Knowledge and experience working with derivatives and hedging risk management
An advanced degree in Financial Engineering, Mathematics, Physics, Engineering or similar quantitative discipline preferred;
CFA or CAIA or FRM preferred;
Understanding of the insurance industry is desirable;
Well established record of project management;
Success working in collaborative team environment with matrix management;
Strong executive communication and presentation skills; and,
Ability to work independently and take initiative.
#LI-DNI

MassMutual is an Equal Employment Opportunity employer Minority/Female/Sexual Orientation/Gender Identity/Individual with Disability/Protected Veteran. We welcome all persons to apply. Note: Veterans are welcome to apply, regardless of their discharge status.",Insurance Carriers
548,$10+ billion (USD),Financial Data Analyst (Bilingual Chinese),"Los Angeles, CA",Tripalink,3.9,5001 to 10000 Employees,Insurance,1851,$61K - $118K (Glassdoor est.),Company - Private,"MassMutual is an organization committed to be the best company in the industry based on superior financial strength, high dividends, and delivery of a high-quality customer experience. It’s about our customers and keeping them at the center of all that we do. Seeing ourselves as our customers do...as one company, one culture, one brand all working toward a shared purpose... To help people secure their future and protect the ones they love.

Core to this purpose is Risk Management. As we embark on a range of strategic imperatives to grow our businesses, the importance of our strong risk management foundation has never been clearer. Enterprise Risk Management’s Strategic and Business Risk Team is seeking an exceptional, highly motivated, collaborative, experienced actuary to lead the Distribution and Business Risk team.

Reporting to the Head of Strategic & Business Risk, this person will:
Be a sought-after partner with the experience and talent to help MassMutual thrive in a world of new and emerging strategic and business risks
Lead a small high performing team that collaborates with the various lines of business in order to tackle projects that quantify strategic and business risks and provide valuable insights that inform strategic business decisions
Assess, monitor and recommend mitigations for the risks of MassMutual’s distribution channels, i.e. life and wealth field agents, third-party distribution, institutional investments, worksite, broker dealer, and channels of our material subsidiaries such as Great American Life Insurance Company; examples of risks to monitor are talent attraction and retention, agent/channel productivity, adoption of digital tools, strategic and execution risks of project or initiatives within each channel, etc.
Utilize agile sprint methodology to work intensively on a risk topic and deliver recommendations in a relatively short period of time, and in a highly coordinated manner.

Examples of past projects include an enterprise risk review of low interest rates, inflation, execution risk, COVID-19 risks, and ERM product guidelines.

IMPACT OF THIS ROLE

Develops insightful recommendations for the benefit of business and risk management by applying business acumen, technical analysis, and deep thought to critical risk issues
Presents these conclusions and ensures buy-in by using the most effective, concise and visual methods, at all levels, including at the Enterprise Risk Committee whose members are the Executive Leadership Team
Understands strategic initiatives, business goals and risks to success by developing solid working relationships with colleagues across the business lines and channels
Ensures a high performing team by aligning coverage and expecting active engagement with the distribution channels
Pro-actively identifies risk topics to analyze through awareness of our business, strategy and trends within the industry and environment, regardless of the topic
Collaborates actively and manages projects on a rotating basis with team members
Inspires others, including direct team of two experienced actuaries, with a continual focus on development and process improvement


Quickly establish credibility with a wide range of stakeholders
Proactively collaborate with other teams in ERM as well as in the business lines
Be a committed team player
Inform and influence others appropriately, clearly and on a timely basis
Adapt and thrive in complex, uncertain and changing situations
Listen actively, and challenge yourself and others to think about all angles of the issue
Quickly self-educate on new topics with less familiarity
Have interest in a wide range of business issues
Create tools and models if none exist to deliver a robust analysis

CANDIDATE QUALIFICATIONS


Deep expertise with a wide array of products and financial roles (e.g. traditional life insurance products such as whole life, term life, universal life as well as annuity and institutional products; experience in a variety of pricing, product development, and financial valuation functions)
Understanding of risk measurement frameworks and related risk management techniques and tools
Strong analytical and problem-solving skills, including ability to drill down on details, perform analyses, resolve issues and distill findings into a concise summary of key conclusions and recommendations
10+ years of financial services or insurance experience
Technical qualification/credentials, e.g., FSA or ASA


Project management skills
Risk management experience
Experience using agile methodology a plus
Broad experience with pricing, product development, and/or valuation of life, annuity, health and investment products a plus
Data science, analytics and visualization skills (e.g., Python, R, SQL) are a plus


Boston or Springfield

#LI-DNI

MassMutual is an Equal Employment Opportunity employer Minority/Female/Sexual Orientation/Gender Identity/Individual with Disability/Protected Veteran. We welcome all persons to apply. Note: Veterans are welcome to apply, regardless of their discharge status.",Insurance Carriers
549,,RN,"El Paso, TX",Del Sol Medical Center,3.9,5001 to 10000 Employees,Insurance,1851,$61K - $118K (Glassdoor est.),Company - Private,"MassMutual is an organization committed to be the best company in the industry based on superior financial strength, high dividends, and delivery of a high-quality customer experience. It’s about our customers and keeping them at the center of all that we do. Seeing ourselves as our customers do...as one company, one culture, one brand all working toward a shared purpose... To help people secure their future and protect the ones they love.

Core to this purpose is Risk Management. As we embark on a range of strategic imperatives to grow our businesses, the importance of our strong risk management foundation has never been clearer. Enterprise Risk Management’s Strategic and Business Risk Team is seeking an exceptional, highly motivated, collaborative, experienced actuary to lead the Distribution and Business Risk team.

Reporting to the Head of Strategic & Business Risk, this person will:
Be a sought-after partner with the experience and talent to help MassMutual thrive in a world of new and emerging strategic and business risks
Lead a small high performing team that collaborates with the various lines of business in order to tackle projects that quantify strategic and business risks and provide valuable insights that inform strategic business decisions
Assess, monitor and recommend mitigations for the risks of MassMutual’s distribution channels, i.e. life and wealth field agents, third-party distribution, institutional investments, worksite, broker dealer, and channels of our material subsidiaries such as Great American Life Insurance Company; examples of risks to monitor are talent attraction and retention, agent/channel productivity, adoption of digital tools, strategic and execution risks of project or initiatives within each channel, etc.
Utilize agile sprint methodology to work intensively on a risk topic and deliver recommendations in a relatively short period of time, and in a highly coordinated manner.

Examples of past projects include an enterprise risk review of low interest rates, inflation, execution risk, COVID-19 risks, and ERM product guidelines.

IMPACT OF THIS ROLE

Develops insightful recommendations for the benefit of business and risk management by applying business acumen, technical analysis, and deep thought to critical risk issues
Presents these conclusions and ensures buy-in by using the most effective, concise and visual methods, at all levels, including at the Enterprise Risk Committee whose members are the Executive Leadership Team
Understands strategic initiatives, business goals and risks to success by developing solid working relationships with colleagues across the business lines and channels
Ensures a high performing team by aligning coverage and expecting active engagement with the distribution channels
Pro-actively identifies risk topics to analyze through awareness of our business, strategy and trends within the industry and environment, regardless of the topic
Collaborates actively and manages projects on a rotating basis with team members
Inspires others, including direct team of two experienced actuaries, with a continual focus on development and process improvement


Quickly establish credibility with a wide range of stakeholders
Proactively collaborate with other teams in ERM as well as in the business lines
Be a committed team player
Inform and influence others appropriately, clearly and on a timely basis
Adapt and thrive in complex, uncertain and changing situations
Listen actively, and challenge yourself and others to think about all angles of the issue
Quickly self-educate on new topics with less familiarity
Have interest in a wide range of business issues
Create tools and models if none exist to deliver a robust analysis

CANDIDATE QUALIFICATIONS


Deep expertise with a wide array of products and financial roles (e.g. traditional life insurance products such as whole life, term life, universal life as well as annuity and institutional products; experience in a variety of pricing, product development, and financial valuation functions)
Understanding of risk measurement frameworks and related risk management techniques and tools
Strong analytical and problem-solving skills, including ability to drill down on details, perform analyses, resolve issues and distill findings into a concise summary of key conclusions and recommendations
10+ years of financial services or insurance experience
Technical qualification/credentials, e.g., FSA or ASA


Project management skills
Risk management experience
Experience using agile methodology a plus
Broad experience with pricing, product development, and/or valuation of life, annuity, health and investment products a plus
Data science, analytics and visualization skills (e.g., Python, R, SQL) are a plus


Boston or Springfield

#LI-DNI

MassMutual is an Equal Employment Opportunity employer Minority/Female/Sexual Orientation/Gender Identity/Individual with Disability/Protected Veteran. We welcome all persons to apply. Note: Veterans are welcome to apply, regardless of their discharge status.",Insurance Carriers
550,,Pricing Data Analyst,"Radnor, PA",Airgas Inc.,2.7,Unknown,Unknown / Non-Applicable,Hospital,$61K - $118K (Glassdoor est.),Health Care Services & Hospitals,"Description
Introduction
Del Sol Medical Center is committed to investing in the latest technology enabling nurses to work more efficiently. Are you passionate about delivering patient-centered care? Submit your application for RN position and spend more time at the bedside with the patient.
Benefits
At Del Sol Medical Center we want to ensure we support you through all stages of your life as a nurse. We offer eligible colleagues an attractive benefit package that includes medical, wellbeing, dental and vision benefits along with some unique benefits including:",Health Care
551,$5 to $10 billion (USD),"Data Scientist, Marketing","Ewing, NJ",NJM Insurance Group,3.8,10000+ Employees,Manufacturing,1982,$61K - $118K (Glassdoor est.),Company - Public,"The Pricing Data Analyst is responsible for creating, supporting and maintaining solutions and processes in the Airgas Strategic Pricing software environment to help business managers, sales leaders and other end users make informed business decisions regarding pricing and profitability. Leveraging big data analytics and related tools including SQL, PROS, BW, and Power BI, this position will provide the business units with price guidance, business intelligence reports and analytics to support their business and pricing objectives. In addition, this position provides functional, technical and end-user support for the Strategic Pricing information systems and assists fellow analysts on the national, division and region pricing teams to achieve the company’s pricing goals and objectives.
ESSENTIAL DUTIES AND RESPONSIBILITIES include the following. Other duties may be assigned.

Develop, maintain, and support business intelligence, analytics, tools and processes to help in the analysis and administration of daily price changes, annual price action and contract agreements management.",Chemical Manufacturing
552,$5 to $10 billion (USD),Junior Data Scientist,"Durham, NC",Fidelity TalentSource,3.8,10000+ Employees,Manufacturing,1982,$61K - $118K (Glassdoor est.),Company - Public,"The Pricing Data Analyst is responsible for creating, supporting and maintaining solutions and processes in the Airgas Strategic Pricing software environment to help business managers, sales leaders and other end users make informed business decisions regarding pricing and profitability. Leveraging big data analytics and related tools including SQL, PROS, BW, and Power BI, this position will provide the business units with price guidance, business intelligence reports and analytics to support their business and pricing objectives. In addition, this position provides functional, technical and end-user support for the Strategic Pricing information systems and assists fellow analysts on the national, division and region pricing teams to achieve the company’s pricing goals and objectives.
ESSENTIAL DUTIES AND RESPONSIBILITIES include the following. Other duties may be assigned.

Develop, maintain, and support business intelligence, analytics, tools and processes to help in the analysis and administration of daily price changes, annual price action and contract agreements management.",Chemical Manufacturing
553,$25 to $50 million (USD),Data Analyst,"Saint Louis, MO",Envision LLC,3.5,1001 to 5000 Employees,Business Services,1986,$61K - $118K (Glassdoor est.),Company - Private,"Fidelity TalentSource is your destination for discovering your next temporary role at Fidelity Investments.
We are currently sourcing for a Junior Data Scientist to work in Durham, North Carolina, Boston Massachusetts, or Merrimack, New Hampshire.
The Team
The Fidelity Enterprise Services Advanced Technology for Investment Management identifies projects to continually strengthen investment decision and portfolio construction insights and support personalized investment goals. The Team works within an innovation ecosystem that includes partners from investment, client relations, technology and centralized R&D units. Fidelity Enterprise Services Advanced Technology seeks cross-domain authorities with backgrounds that connect investment management, machine learning and technology implementation. We cultivate success through a rigorous approach that builds, tests, and iterates as we learn and seek results-oriented processes and problems in investment management.",
554,,Technical Data Analyst with five years of professional IT experience,"Columbus, OH","Dedicated Tech Services, Inc.",4.5,201 to 500 Employees,,1994,$61K - $118K (Glassdoor est.),Company - Private,"Required Skills / Experience:
BA/BS in Computer Science, Physics, Applied Math, Agronomy, Engineering or a related quantitative discipline with at least a year of data analytics or data science experience.
Intermediate skill using Python (e.g. pandas, numpy, matplotlib, seaborn, etc.)
Intermediate skill using SQL or PySpark dataframe manipulations
Knowledgeable of version control, e.g. git
Detail oriented and capable of performing deep dives into datasets
• Strong communication skills to solicit information from domain experts and present results • back to a technical audience
Self starter as well as able to work as part of a team

Desired Skills / Experience:",Staffing & Outsourcing
555,,Data Scientist,"Charlestown, MA",Selux Diagnostics,,,,,$61K - $118K (Glassdoor est.),,"Dedicated Tech Services, Inc. (DTS) is an award-winning IT consulting firm based in Columbus, OH. We now have an opening for a Technical Data Analyst with five years of professional IT experience in Columbus, Ohio.
US Citizens and those authorized to work in the US are encouraged to apply. We are unable to sponsor at this time.
Direct applicants only, no corp-to-corp candidates, third parties, or agencies, please.
This is a right-to-hire position with our client.
This is a mid-level position. It is not suitable for recent college or graduate school graduates who do not have 5 years of professional data analysis experience.
The selected candidate will work remotely (virtually) until pandemic conditions permit work on site.",
556,$10+ billion (USD),"AI/ML - Machine Learning Engineer, Siri","Boston, MA",Apple,,10000+ Employees,Information Technology,1976,$61K - $118K (Glassdoor est.),Company - Public,"Job Summary
Selux is a Boston-based company developing clinical microbiology diagnostic solutions to combat the antibiotic resistance epidemic. The company is seeking a self-motivated, versatile Data Scientist to join our Algorithm Team. This position requires advanced knowledge of Python in addition to machine learning skills.
Duties and Responsibilities
Develop and tune machine learning models
Use visualization tools and statistical techniques to identify patterns in data and engineer new features
Communicate model performance, analysis results and tradeoffs to stakeholders
Participate in development and maintenance of Python software that automates creation, training, selection, and evaluation of machine learning pipelines at scale",Computer Hardware & Software
557,$10+ billion (USD),Data Analyst,"Kansas City, MO",Morgan Hunter,4.3,10000+ Employees,Information Technology,1976,$61K - $118K (Glassdoor est.),Company - Public,"Summary
Posted: Jul 19, 2021
Weekly Hours: 40
Role Number:200226802
Play a part in the next revolution in human-computer interaction. Contribute to a product that is redefining mobile computing. Create groundbreaking technology for large scale systems, spoken language, big data, and artificial intelligence. And work with the people who created the intelligent assistant that helps millions of people get things done - just by asking. Join the Siri Understanding team at Apple.The Siri Understanding team is looking for an exceptional Machine Learning Engineer to personalize the Siri experience for millions of Apple users worldwide while preserving data privacy.
Key Qualifications
Strong understanding of machine learning (ML) fundamentals.",Computer Hardware & Software
558,,Programmer Analyst II,"Jackson, MS",Public Employees' Retirement System (PERS) of MS,4.4,,,,$61K - $118K (Glassdoor est.),,"DATA ANALYST
SUMMARY
Conducts full lifecycle analysis to include requirements, activities, design and implementation. Provides technical expertise to ensure the quality and accuracy of company data. They will also monitor performance and quality control plans to identify improvements.
The Data Analyst makes recommendations about the methods and ways in which Tension obtains and analyses data to improve quality and the efficiency of data systems.
Gather information from various sources and interpret patterns and trends that can be turned into project requirements for custom-formatted data output. Then present it in ways to allow our associates, departments, and organization make better decisions.
MH123",
