,Sector,Company Name,Size,Location,Rating,Job Description,Type of Ownership,Industry,Salary Estimate,Founded,Job Title,Revenue
366,Business Services,Nike,10000+ Employees,"Beaverton, OR",4.1,"Organization: Corporate Functions/Research
Location: US Negotiable - New York, Boston, Chicago, Atlanta
Accenture is a leading global professional services company, providing a broad range of services and solutions in strategy, consulting, digital, technology and operations. Combining unmatched experience and specialized skills across more than 40 industries and all business functions — underpinned by the world’s largest delivery network — Accenture works at the intersection of business and technology to help clients improve their performance and create sustainable value for their stakeholders. With 505,000 people serving clients in more than 200 cities with operations across 51 countries, Accenture drives innovation to improve the way the world works and lives. Visit us at www.accenture.com.
People in the Corporate Function contribute to the running of Accenture as a high- performance business through specialization within a specific functional area, and grow into internally focused roles by deepening their skills and/or developing new skills within an internal functional area.",Company - Public,Consulting,$29 Per Hour(Employer est.),1989,"Director, Communications Algorithms Data Science",$10+ billion (USD)
367,Business Services,Atlanta Regional Commission,10000+ Employees,"Atlanta Central City Post Offi, GA",4.1,"Organization: Corporate Functions/Research
Location: US Negotiable - New York, Boston, Chicago, Atlanta
Accenture is a leading global professional services company, providing a broad range of services and solutions in strategy, consulting, digital, technology and operations. Combining unmatched experience and specialized skills across more than 40 industries and all business functions — underpinned by the world’s largest delivery network — Accenture works at the intersection of business and technology to help clients improve their performance and create sustainable value for their stakeholders. With 505,000 people serving clients in more than 200 cities with operations across 51 countries, Accenture drives innovation to improve the way the world works and lives. Visit us at www.accenture.com.
People in the Corporate Function contribute to the running of Accenture as a high- performance business through specialization within a specific functional area, and grow into internally focused roles by deepening their skills and/or developing new skills within an internal functional area.",Company - Public,Consulting,$29 Per Hour(Employer est.),1989,Data Visualization Assistant – PT Temp,$10+ billion (USD)
368,Information Technology,Capgemini,10000+ Employees,"New York, NY",,"Organization: Corporate Functions/Research
Location: US Negotiable - New York, Boston, Chicago, Atlanta
Accenture is a leading global professional services company, providing a broad range of services and solutions in strategy, consulting, digital, technology and operations. Combining unmatched experience and specialized skills across more than 40 industries and all business functions — underpinned by the world’s largest delivery network — Accenture works at the intersection of business and technology to help clients improve their performance and create sustainable value for their stakeholders. With 505,000 people serving clients in more than 200 cities with operations across 51 countries, Accenture drives innovation to improve the way the world works and lives. Visit us at www.accenture.com.
People in the Corporate Function contribute to the running of Accenture as a high- performance business through specialization within a specific functional area, and grow into internally focused roles by deepening their skills and/or developing new skills within an internal functional area.",Company - Public,Enterprise Software & Network Solutions,$29 Per Hour(Employer est.),1967,Entry Level Data Engineer - September Start Date,$10+ billion (USD)
369,Information Technology,RMDS Lab,10000+ Employees,"Pasadena, CA",3.8,"Travel/Relocation: Must be open to both
Start date: September 20th

Working at Capgemini:

Are you interested in working in a high-tech global consulting firm focused on digital transformations and tech solution implementations? We are looking for a goal oriented compassionate person who can work in a fast-paced environment. Due to our rapid growth we are looking to hire a motivated person who is excited to take the next steps with Capgemini.",Company - Public,Enterprise Software & Network Solutions,$29 Per Hour(Employer est.),1967,Data Scientist for GRMDS.org,$10+ billion (USD)
370,Travel & Tourism,Delta,10000+ Employees,"Atlanta Central City Post Offi, GA",,"We are looking for a Data Scientist to analyze large amounts of raw information to find patterns and insights that will help our company and our clients. We will rely on you to build data products to extract valuable business insights. In this role, you should be highly analytical with a knack for analysis, math and statistics. Critical thinking and problem-solving skills are essential for interpreting data. We want to see a passion for machine-learning and research. Your goal will be to help our company and our clients analyze trends to make better decisions.
Responsibilities
Identify valuable data sources and automate collection processes
Undertake preprocessing of structured and unstructured data
Analyze large amounts of information to discover trends and patterns",Company - Public,Airlines,$29 Per Hour(Employer est.),1928,Specialist,$10+ billion (USD)
371,Travel & Tourism,Facebook,10000+ Employees,"Fremont, CA",4.4,"United States, Georgia, Atlanta
Inflight Services
15-Jul-2021
Ref #: 7941 How you'll help us Keep Climbing (overview & key responsibilities)
The Specialist will be responsible for driving all OBS Forecast for passenger supplies. These forecasts will include forward projections for supplier production as well as projections for the procurement function.

Work closely across the organization with the stakeholders of the OBS planning, service delivery, supply chain management, and finance groups to generate operational inventory projections
Generate station and warehouse targets (maximum order quantities) based on flight schedule and provisioning estimates
Work closely with the OnBoard Services operational teams to understand operational changes and how they will impact inventory needs
Assist in the development of a new forecasting tools
Identify and develop reports for commonly requested forecast needs
Create dashboards for business users
Clearly articulate forecasting assumptions
Work with operational team to continuously cleanse data with the expectation of constantly improving forecast projections
Be well versed in all OBS processes to help brainstorm process improvement opportunities

What you need to succeed (minimum qualifications)
Where permitted by applicable law, must have received or be willing to receive the COVID-19 vaccine by date of hire to be considered for U.S.-based job, if not currently employed by Delta Air Lines, Inc.
Embraces diverse people, thinking and styles
Consistently makes safety and security, of self and others, the priority
Advanced degree or certification in statistics, information technology, supply chain, IT, business management, engineering or related field
Knowledge of SQL required
Experience with data science tools (R, Python, SAS) preferred
Excellent data analytical skillsable to pull together and combine data from disparate sources to analyze and summarize into recommendations and actions
Excellent cross-organization problem resolution and communication skills
Demonstrated Leadership Potential

What will give you a competitive edge (preferred qualifications) N/A < Go back",Company - Public,Airlines,$29 Per Hour(Employer est.),1928,Data Analyst - Ads Revenue Accounting,$10+ billion (USD)
372,Travel & Tourism,Pivosys Inc.,10000+ Employees,"Sacramento, CA",4.4,"United States, Georgia, Atlanta
Inflight Services
15-Jul-2021
Ref #: 7941 How you'll help us Keep Climbing (overview & key responsibilities)
The Specialist will be responsible for driving all OBS Forecast for passenger supplies. These forecasts will include forward projections for supplier production as well as projections for the procurement function.

Work closely across the organization with the stakeholders of the OBS planning, service delivery, supply chain management, and finance groups to generate operational inventory projections
Generate station and warehouse targets (maximum order quantities) based on flight schedule and provisioning estimates
Work closely with the OnBoard Services operational teams to understand operational changes and how they will impact inventory needs
Assist in the development of a new forecasting tools
Identify and develop reports for commonly requested forecast needs
Create dashboards for business users
Clearly articulate forecasting assumptions
Work with operational team to continuously cleanse data with the expectation of constantly improving forecast projections
Be well versed in all OBS processes to help brainstorm process improvement opportunities

What you need to succeed (minimum qualifications)
Where permitted by applicable law, must have received or be willing to receive the COVID-19 vaccine by date of hire to be considered for U.S.-based job, if not currently employed by Delta Air Lines, Inc.
Embraces diverse people, thinking and styles
Consistently makes safety and security, of self and others, the priority
Advanced degree or certification in statistics, information technology, supply chain, IT, business management, engineering or related field
Knowledge of SQL required
Experience with data science tools (R, Python, SAS) preferred
Excellent data analytical skillsable to pull together and combine data from disparate sources to analyze and summarize into recommendations and actions
Excellent cross-organization problem resolution and communication skills
Demonstrated Leadership Potential

What will give you a competitive edge (preferred qualifications) N/A < Go back",Company - Public,Airlines,$29 Per Hour(Employer est.),1928,Python Developer -With Data Science Experience,$10+ billion (USD)
373,Biotech & Pharmaceuticals,Bayer,,"Chesterfield, MO",4.4,"United States, Georgia, Atlanta
Inflight Services
15-Jul-2021
Ref #: 7941 How you'll help us Keep Climbing (overview & key responsibilities)
The Specialist will be responsible for driving all OBS Forecast for passenger supplies. These forecasts will include forward projections for supplier production as well as projections for the procurement function.

Work closely across the organization with the stakeholders of the OBS planning, service delivery, supply chain management, and finance groups to generate operational inventory projections
Generate station and warehouse targets (maximum order quantities) based on flight schedule and provisioning estimates
Work closely with the OnBoard Services operational teams to understand operational changes and how they will impact inventory needs
Assist in the development of a new forecasting tools
Identify and develop reports for commonly requested forecast needs
Create dashboards for business users
Clearly articulate forecasting assumptions
Work with operational team to continuously cleanse data with the expectation of constantly improving forecast projections
Be well versed in all OBS processes to help brainstorm process improvement opportunities

What you need to succeed (minimum qualifications)
Where permitted by applicable law, must have received or be willing to receive the COVID-19 vaccine by date of hire to be considered for U.S.-based job, if not currently employed by Delta Air Lines, Inc.
Embraces diverse people, thinking and styles
Consistently makes safety and security, of self and others, the priority
Advanced degree or certification in statistics, information technology, supply chain, IT, business management, engineering or related field
Knowledge of SQL required
Experience with data science tools (R, Python, SAS) preferred
Excellent data analytical skillsable to pull together and combine data from disparate sources to analyze and summarize into recommendations and actions
Excellent cross-organization problem resolution and communication skills
Demonstrated Leadership Potential

What will give you a competitive edge (preferred qualifications) N/A < Go back",Company - Private,Biotech & Pharmaceuticals,$29 Per Hour(Employer est.),1863,Data Science Co-Op,$10+ billion (USD)
374,Biotech & Pharmaceuticals,Bayer,10000+ Employees,"Chesterfield, MO",4.1,"Bayer is a global enterprise with core competencies in the Life Science fields of health care and agriculture. Its products and services are designed to benefit people and improve their quality of life. At Bayer you have the opportunity to be part of a culture where we value the passion of our employees to innovate and give them the power to change.


Data Science Co-Op",Company - Private,Biotech & Pharmaceuticals,$29 Per Hour(Employer est.),1863,Precision Genomics Data Science Co-Op,$10+ billion (USD)
375,Biotech & Pharmaceuticals,LOCKHEED MARTIN CORPORATION,10000+ Employees,"Aguadilla, PR",4.1,"Bayer is a global enterprise with core competencies in the Life Science fields of health care and agriculture. Its products and services are designed to benefit people and improve their quality of life. At Bayer you have the opportunity to be part of a culture where we value the passion of our employees to innovate and give them the power to change.


Data Science Co-Op",Company - Private,Biotech & Pharmaceuticals,$29 Per Hour(Employer est.),1863,Data Governance Analyst,$10+ billion (USD)
376,Business Services,Accenture,10000+ Employees,"Seattle, WA",,"Bayer is a global enterprise with core competencies in the Life Science fields of health care and agriculture. Its products and services are designed to benefit people and improve their quality of life. At Bayer you have the opportunity to be part of a culture where we value the passion of our employees to innovate and give them the power to change.


Precision Genomics Data Science Co-Op",Company - Public,Consulting,$29 Per Hour(Employer est.),1989,Behavioral Data Science Consultant,$10+ billion (USD)
377,Business Services,California State University,10000+ Employees,"San Jose, CA",4.1,"Accenture is a global professional services company with leading capabilities in digital, cloud and security. Combining unmatched experience and specialized skills across more than 40 industries, we offer Strategy and Consulting, Interactive, Technology and Operations services—all powered by the world’s largest network of Advanced Technology and Intelligent Operations centers. Our 514,000 people deliver on the promise of technology and human ingenuity every day, serving clients in more than 120 countries. We embrace the power of change to create value and shared success for our clients, people, shareholders, partners and communities. Visit us at www.accenture.com
We are:
Solutions.AI is Accenture's collection of AI solutions that are designed to unlock new efficiencies and growth, enable new ways of working, and facilitate game-changing innovation–3x faster than the typical product lifecycle. Built and delivered on the foundation of Accenture's unparalleled AI expertise, data services, IP and ecosystem partners, our scalable, modular solutions minimize time to market and maximize business impact. The next AI revolution will be built by people like you. Visit us here to find out more about Solutions.AI.",Company - Public,Consulting,$29 Per Hour(Employer est.),1989,Data Visualization Analyst,$10+ billion (USD)
378,,Nestria,,Remote,,"Accenture is a global professional services company with leading capabilities in digital, cloud and security. Combining unmatched experience and specialized skills across more than 40 industries, we offer Strategy and Consulting, Interactive, Technology and Operations services—all powered by the world’s largest network of Advanced Technology and Intelligent Operations centers. Our 514,000 people deliver on the promise of technology and human ingenuity every day, serving clients in more than 120 countries. We embrace the power of change to create value and shared success for our clients, people, shareholders, partners and communities. Visit us at www.accenture.com
We are:
Solutions.AI is Accenture's collection of AI solutions that are designed to unlock new efficiencies and growth, enable new ways of working, and facilitate game-changing innovation–3x faster than the typical product lifecycle. Built and delivered on the foundation of Accenture's unparalleled AI expertise, data services, IP and ecosystem partners, our scalable, modular solutions minimize time to market and maximize business impact. The next AI revolution will be built by people like you. Visit us here to find out more about Solutions.AI.",,,$29 Per Hour(Employer est.),,Python & Data Science Mentor,
379,$500 million to $1 billion (USD),"University of California, Santa Barbara",,"Santa Barbara, CA",,"Nestria is a network for learning and careers. We are seeking talented & experienced tech professionals to offer mentorship to applicants seeking jobs in the tech industry, and offer group mentorship sessions or classes to help their career journeys.
The primary thing that a mentee is looking for is support in their career. A lot of people will be in an early phase of their career where they are just starting out in an industry. They want help searching for a job, and understanding the different directions in which they can develop their career.
Ideal candidates are currently working in the tech industry. Feel free to apply if you think that you have adequate credentials to mentor job seekers for tech industry jobs in software development or data science.
Job Type: Part-time
Pay: $18.00 - $100.00 per hour",Colleges & Universities,Education,$29 Per Hour(Employer est.),College / University,Data Science Program Coordinator,
380,$500 million to $1 billion (USD),people*strata,5001 to 10000 Employees,"Cincinnati, OH",4.4,"Position Information
Payroll Title: Student Services Advisor 2
Job Code: 4574
Job Open Date: 5/12/21
Open Until Filled
Department Code-Name: COMS
Percentage of Time: 50%",Colleges & Universities,Education,$29 Per Hour(Employer est.),College / University,"Associate, Data Science",
381,,VEMI Lab at the University of Maine,,"Orono, ME",,"ENGINE is a media and marketing services company that exists to futureproof clients business. In a fast-changing world, we empower our clients to outperform in the present and win in the future. Driven by data. Fueled by imagination. Powered by technology. Engine is an ecosystem of creative wunderkinds, uber-nerds, business consultants, cultural mavens, and channel specialists working together to help our clients grow. With global headquarters in New York and 16 locations across North America, the UK, Europe, and Asia-Pacific, Engine offers clients a vast range of marketing solutionsincluding insights, content, distribution, data and technology.

POSITION SUMMARY:",,,$29 Per Hour(Employer est.),,Graduate Research Assistant (student) in Accessible Data Science,
382,Information Technology,Microsoft,,"Bellevue, WA",,"Research Overview
The Virtual Environment and Multimodal Interaction (VEMI) Lab at the University of Maine is seeking a doctoral level graduate research assistant to work on a new NSF sponsored project investigating accessible data science. Advised by Dr. Nicholas Giudice, the successful candidate will focus on the research and design of user interfaces for supporting accessible data, graphics, and numerical educational content for people with disabilities, specifically those with visual impairments. This line of research includes implementing and evaluating techniques that make graphical, visually-based materials accessible on smart devices. Building on design guidelines for non-visual information access on touchscreens, the research will apply these techniques to data science, statistics, data representation/visualizations, and STEM educational content for people with visual and print disabilities.
VEMI is a truly multidisciplinary research lab, with research and expertise converging human-computer interaction, biomedical engineering, and the humanities. As such, students from all academic disciplines are encouraged to apply.",Company - Public,Computer Hardware & Software,$29 Per Hour(Employer est.),1975,Data & Applied Scientist,$10+ billion (USD)
383,Information Technology,Titan America,10000+ Employees,"Roanoke, VA",4.4,"Are you looking for an opportunity to solve business-critical problems for Fortune-500 customers globally using cutting-edge AI and ML technology? Do you enjoy tackling technical challenges and producing innovative solutions to real-world problems? Then come join the AI Platform team in Microsoft. You will be working along the best AI/ML engineering, science, and product talent in the industry and engaging with the largest, most complex customers and ISVs in the world.
Artificial Intelligence (AI) and Machine Learning (ML) is the next explosive growth area in technology relevant to every business in every industry on the planet. The data economy is already booming, and in 2021 there will be a projected 35 zettabytes of data generated by 50 billion connected devices. From these mountains of data, AI and ML will harvest valuable predictive signals and patterns that will fundamentally transform the face of business. With our own already existing volumes of data and research assets, Microsoft is investing to be a key player and a market leader in this industry.

The AI Platform organization at Microsoft has the charter to bring the best of our AI & Research assets, tools and cloud infrastructure, rich data, and trusted position together, to deliver AI and ML services and solutions to customers. The mission of the AI Commercial Engineering team within the AI Platform Product Management organization is to co-innovate, incubate, and improve our core AI platform from scenarios utilizing Azure Cognitive Services and Azure ML. We do so by building and infusing AI technologies in real world solutions and extending the signals from real world patterns to building robust, scalable AI platform services and products. To achieve this, we are co-innovating AI and ML powered solutions (rich APIs, ML models and end to end services) with our strategic ISVs and Enterprise customers, leveraging many other Azure technologies, including Azure Data Analytics (Synapse, ADF, SQL and ADB) and Python/C# microservices, Azure Functions and AKS.",Company - Public,Computer Hardware & Software,$29 Per Hour(Employer est.),1975,Junior Data Scientist,$10+ billion (USD)
384,Information Technology,Scientific Games,5001 to 10000 Employees,"Las Vegas, NV",3.7,"Titan America, LLC, is a leading environmentally and socially progressive heavy building materials company located in the eastern United States. Titan America is part of the TITAN Group, an independent, multi-regional producer of cement and other related building materials. Our products include cement, aggregate, ready-mixed concrete and fly ash beneficiation. TITAN Group has a record of continuous growth since its establishment in 1902. It has expanded its production and distribution operations into 13 countries, employing more than 5,500 people. Our products protect human life and personal property, improve the quality of life, generate economic prosperity and connect society.
Titan Mid-Atlantic has an opening for a Junior Data Scientist for its Titan America operation location in Roanoke, VA. This hourly position will report directly to the Director of Process Improvement.
Responsibilities:
Selecting features, building, and optimizing classifiers using machine learning techniques",Company - Public,Computer Hardware & Software,$29 Per Hour(Employer est.),1984,Associate Mathematician,$2 to $5 billion (USD)
385,Information Technology,Amazon.com Services LLC,5001 to 10000 Employees,"Boulder, CO",3.7,"Gaming:
Are you ready to level up your career?

At Scientific Games, we are committed to making the best games, platforms and systems in the world. We are looking for smart, passionate and creative people to join our team and help us transform the gaming world. We are a global, industry-leading gaming technology company that embraces challenge, fosters an inclusive culture, values integrity, innovation and winning, and is committed to developing and supporting its people.
Whether you are a member of our award winning game studios, our industry leading systems group, product management, manufacturing group, services or any of our other amazing Gaming teams, you will be creating compelling games played around the world. We are dedicated to being the industry’s only COMPLETE global solutions provider with products that will enhance the entire gaming operation, both on the casino floor and behind the scenes.",Company - Public,Computer Hardware & Software,$29 Per Hour(Employer est.),1984,SDE- Measurement & Data Science- 2021,$2 to $5 billion (USD)
386,Information Technology,FAAZ Consulting,10000+ Employees,"Washington, DC",3.8,"2+ years of non-internship professional software development experience
Programming experience with at least one modern language such as Java, C++, or C# including object-oriented design
1+ years of experience contributing to the architecture and design (architecture, design patterns, reliability and scaling) of new and current systems.
Are you passionate about using Big Data to build customer trust and grow new business? Global advertisers rely on our team's performance insights to drive future investment in Amazon's Advertising Platform and improve the relevance of ads shown to customers. We’re looking for strong Software Engineers that can combine open source technologies such as Hbase, Spark, Hadoop and Presto, as well as AWS services like DynamoDB, Kinesis, Elastic Map Reduce and Redshift to build the next generation of our analytics and visualization platform. If this sounds interesting we’d love to hear from you!
Amazon is well positioned to grow its share of a fast growing online advertising industry due to its unique assets - e-commerce data, service oriented architecture, and startup culture. Be part of a team of industry leading experts that builds and operates one of the largest big data analytics platform at Amazon. Amazon is applying the latest machine learning and big data technologies available to change the way marketers purchase, track, measure, and optimize their advertising spend. We apply these technologies on terabytes of data (over 10B new events per day) and operate clusters that push scalability limits of the existing technologies. We seek to measure every possible signal indicating impact of advertising to provide the most objective result of marketing spends.
This role will involve designing and developing software products that impact many areas of our business. The individual in this role will have responsibility help define requirements, create software designs, implement code to these specifications, provide thorough unit and integration testing, and support products while deployed and used by our stakeholders.

We are hiring in multiple locations, Boulder, Arlington, and Toronto.

The pay range for this position in Colorado is $122,200 - 160,000/yr; however, base pay offered may vary depending on job-related knowledge, skills, and experience. A sign-on bonus and restricted stock units may be provided as part of the compensation package, in addition to a full range of medical, financial, and/or other benefits, dependent on the position offered. This information is provided per the Colorado Equal Pay Act. Base pay information is based on market location. Applicants should apply via Amazon's internal or external careers site. Amazon is committed to a diverse and inclusive workplace.

Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us. #madsjob #sspajobs",Company - Public,Internet,$29 Per Hour(Employer est.),1994,SAS Data Scientist,$10+ billion (USD)
387,Education,Salt Lake Community College,1001 to 5000 Employees,"Salt Lake City, UT",4.2,,College / University,Colleges & Universities,$29 Per Hour(Employer est.),1948,Data Engineer 1,$50 to $100 million (USD)
388,Education,CVS Health,1001 to 5000 Employees,"New York, NY",4.2,"Salt Lake Community College has made a commitment to becoming a data-informed institution to meet ambitious strategic planning metrics. A major portion of this initiative is fueled by the development and continued growth of the college’s data warehouse. The data engineer will work in Data Science and Analytics alongside a team of rockstar analysts, data visualizers, and data scientists to continue the development of the college’s data warehouse. The data engineer will develop, construct, test, and maintain analytical data architectures containing institutional data for Salt Lake Community College. The data engineer will take the lead in data warehouse development including identifying business needs, investigating and relating disparate data sources and creating efficient and performant data pipelines that process raw data into valuable data structures. The data engineer will proactively identify data quality issues and create quality assurance checks, reports, or apply transformations as needed. The data engineer may also develop data products, including dashboards or apps, to communicate complex data relationships or transformations.
Essential Responsibilities and Duties Essential Responsibilities and Duties Continued Preferred Qualifications
Experience with cloud technologies (Docker and Airflow in particular)
Experience with a data warehouse or data integration.
Experience working with a multidisciplinary team of researchers, analysts, and business data users.
Experience with higher education software such as Banner, Canvas, or Starfish.
Three (3) years of experience working with data.
Minimum Qualifications



Knowledge, Skills & Abilities
Non-Essential Responsibilities and Duties Special Instructions

FLSA Exempt SLCC Information",College / University,Colleges & Universities,$29 Per Hour(Employer est.),1948,Data Science Analyst,$50 to $100 million (USD)
389,Unknown / Non-Applicable,Aurora,201 to 500 Employees,"Mountain View, CA",,"Salt Lake Community College has made a commitment to becoming a data-informed institution to meet ambitious strategic planning metrics. A major portion of this initiative is fueled by the development and continued growth of the college’s data warehouse. The data engineer will work in Data Science and Analytics alongside a team of rockstar analysts, data visualizers, and data scientists to continue the development of the college’s data warehouse. The data engineer will develop, construct, test, and maintain analytical data architectures containing institutional data for Salt Lake Community College. The data engineer will take the lead in data warehouse development including identifying business needs, investigating and relating disparate data sources and creating efficient and performant data pipelines that process raw data into valuable data structures. The data engineer will proactively identify data quality issues and create quality assurance checks, reports, or apply transformations as needed. The data engineer may also develop data products, including dashboards or apps, to communicate complex data relationships or transformations.
Essential Responsibilities and Duties Essential Responsibilities and Duties Continued Preferred Qualifications
Experience with cloud technologies (Docker and Airflow in particular)
Experience with a data warehouse or data integration.
Experience working with a multidisciplinary team of researchers, analysts, and business data users.
Experience with higher education software such as Banner, Canvas, or Starfish.
Three (3) years of experience working with data.
Minimum Qualifications



Knowledge, Skills & Abilities
Non-Essential Responsibilities and Duties Special Instructions

FLSA Exempt SLCC Information",IT Services,Information Technology,$29 Per Hour(Employer est.),Company - Private,Data Analyst,
390,Finance,Citi,10000+ Employees,"Irving, TX",3.9,"Who We Are
At Aurora, we’re on a mission to deliver the benefits of self-driving technology safely, quickly, and broadly. It all starts with the Aurora Driver, a platform created from industry-leading hardware and software and designed to adapt across a variety of vehicle types and industries.
We’re led by a team of self-driving luminaries, and we’ve forged strategic partnerships with leading transportation companies—including ride-hailing network Uber, truck-manufacturers PACCAR and Volvo Trucks, and the world’s largest automaker Toyota—setting us up to deliver the Aurora Driver in both trucks and passenger vehicles. We are funded by Amazon, Uber, T Rowe Price, and some of Silicon Valley’s best venture capital firms, including Sequoia, Greylock, and Index Ventures.
Aurora is in the best position to lead the self-driving space with a team of unparalleled depth and expertise, the technology to deliver, and the partnerships to build a transformative business for the long-term.",Company - Public,Investment Banking & Asset Management,$29 Per Hour(Employer est.),1812,"Entry-Level Data Positions (Data Engineer, Machine Learning & Visualization)",$10+ billion (USD)
391,Finance,Brilliant,10000+ Employees,"Lake Forest, IL",3.9,"Citi Consumer Technology is seeking dozens of talented entry-level engineers for its Data & Analytics organization, based in Dallas, Texas, and Jacksonville, Fla.
We work with a variety of technologies and are hiring across multiple teams, including Visualization, Data Engineering & Machine Learning Engineering. You’ll find more information below on our roles, our interview process, and our commitment to your growth and development.
Applications are accepted year-round, with multiple start dates organized around orientation trainings.
Our Organization
The best way to think about Citi Consumer Technology is that we’re a tech company inside a bank. We develop software that has a variety of end users: mobile apps and websites that help our customers manage their money, desktop software that allows our customer service agents to provide help and advice, and internal databases, microservices or tools that teams at Citi rely upon every day.
Technology
Digital Software Engineering",Company - Public,Investment Banking & Asset Management,$29 Per Hour(Employer est.),1812,Data Visualization Analyst,$10+ billion (USD)
392,Transportation & Logistics,FedEx Services,10000+ Employees,Virginia,4.1,"This is a 100% remote role.
No more than 3 years of experience.
Summary:
Data Visualization Analyst , you will be the data expert and advisor for Workforce Analytics. The position is critical in supporting multiple People Disciplines within the business
You will have the opportunity to:
Maintain weekly, monthly and quarterly workforce metrics and analysis
Provide written insights on scheduled and ad hoc data analysis request
Use consulting skills to determine and articulate internal customer business questions, develop the best approach for data analysis and turn data into actionable insights & actions
Support HR data analysis as assigned.
You will love it here if…
You are detail oriented
You thrive in a fast paced and high energy environment
You are a creative and dynamic problem solver
You are committed to excellence",Company - Public,Logistics & Supply Chain,$29 Per Hour(Employer est.),2000,Data Analyst,$1 to $5 million (USD)
393,Transportation & Logistics,Accenture,10000+ Employees,"Arlington, VA",4.1,"Company: FedEx Services
Job Title: Data Analyst
Job Requisition Number: RC389493
Category: Decision Science & Analytics
Pay Type: Exempt
Locations:
Remote, Tennessee 38120
United States

Oklahoma City, Oklahoma 73105
United States

Compensation: Monthly Salary $4504.12 - $6688.92
The estimate displayed represents the typical salary range or starting rate of candidates hired in Colorado. Factors that may be used to determine your actual salary may include your specific skills, your remote work location (for remote postings), how many years of experience you have, and comparison to other employees already in this role.",Company - Public,Logistics & Supply Chain,$29 Per Hour(Employer est.),2000,Federal - Data Visualization Specialist,$1 to $5 million (USD)
394,Transportation & Logistics,Treeco Group,10000+ Employees,"Chicago, IL",4.1,"Company: FedEx Services
Job Title: Data Analyst
Job Requisition Number: RC389493
Category: Decision Science & Analytics
Pay Type: Exempt
Locations:
Remote, Tennessee 38120
United States

Oklahoma City, Oklahoma 73105
United States

Compensation: Monthly Salary $4504.12 - $6688.92
The estimate displayed represents the typical salary range or starting rate of candidates hired in Colorado. Factors that may be used to determine your actual salary may include your specific skills, your remote work location (for remote postings), how many years of experience you have, and comparison to other employees already in this role.",Company - Public,Logistics & Supply Chain,$29 Per Hour(Employer est.),2000,Data Engineer,
395,Business Services,Accenture,,"Atlanta Central City Post Offi, GA",,"We’re looking for an experienced Data Engineer with a strong background in statistics and SQL, Python and/or R skills to join our team! Do you want a role where you can really make a difference? Then this role could be perfect for you! In this role you will apply your deep expertise in analytics and data science techniques to enable better customer understanding and inform business decisioning for us.
Key Responsibilities
Contribute to a shared analytics architecture and plan for machine decisioning, claims optimisation and manage components of delivery to that plan.
Elicit and understand stakeholder needs before scoping and developing analytical methodologies to generate training data and build advanced analytical models and solutions with a view to activating them within business processes.
Adopt a product management approach to deliver valuable improvements often, continuously improve and meet stakeholder needs.",,,$29 Per Hour(Employer est.),,Data Science Specialist,$10+ billion (USD)
396,Business Services,Nike,10000+ Employees,"Beaverton, OR",4.1,"Organization: Corporate Functions/Research
Location: US Negotiable - New York, Boston, Chicago, Atlanta
Accenture is a leading global professional services company, providing a broad range of services and solutions in strategy, consulting, digital, technology and operations. Combining unmatched experience and specialized skills across more than 40 industries and all business functions — underpinned by the world’s largest delivery network — Accenture works at the intersection of business and technology to help clients improve their performance and create sustainable value for their stakeholders. With 505,000 people serving clients in more than 200 cities with operations across 51 countries, Accenture drives innovation to improve the way the world works and lives. Visit us at www.accenture.com.
People in the Corporate Function contribute to the running of Accenture as a high- performance business through specialization within a specific functional area, and grow into internally focused roles by deepening their skills and/or developing new skills within an internal functional area.",Company - Public,Consulting,$29 Per Hour(Employer est.),1989,"Director, Communications Algorithms Data Science",$10+ billion (USD)
397,Manufacturing,Atlanta Regional Commission,10000+ Employees,"Atlanta Central City Post Offi, GA",4.1,"Become a Part of the NIKE, Inc. Team
NIKE, Inc. does more than outfit the world’s best athletes. It is a place to explore potential, obliterate boundaries and push out the edges of what can be. The company looks for people who can grow, think, dream and create. Its culture thrives by embracing diversity and rewarding imagination. The brand seeks achievers, leaders and visionaries. At NIKE, Inc. it’s about each person bringing skills and passion to a challenging and constantly evolving game.
Who are we looking for
We are looking for an experienced leader for our Communications Algorithms Data Science team. The Director of Communications Algorithms Data Science will lead a team of data scientists who are responsible for powering science capabilities (statistical modeling, machine learning including bandits, deep learning) across Nike’s marketing and messaging ecosystem! This includes implementing data science algorithms that ensure messages are relevant and timely for individual consumers to maximize Nike’s marketing and membership efforts. We are seeking a leader who can develop a results-oriented roadmap, collaborate with engineering and product partners, and mentor and guide their team to push the edges of data science.
What will you work on
Who will you work with",Company - Public,Consumer Products Manufacturing,$29 Per Hour(Employer est.),1972,Data Visualization Assistant – PT Temp,$10+ billion (USD)
