,Salary Estimate,Sector,Rating,Company Name,Revenue,Job Title,Founded,Type of Ownership,Location,Size,Industry,Job Description
241,$14 - $16 Per Hour(Employer est.),$10+ billion (USD),4.2,Accenture,,Data Science Specialist,Nonprofit Organization,Health Care Services & Hospitals,"East Boston, MA",10000+ Employees,Health Care,"City
Rochester
State
Minnesota
Telecommute
No
Department
Research
Why Mayo Clinic
Mayo Clinic is the nation's best hospital (U.S. News & World Report, 2020-2021) and ranked #1 in more specialties than any other care provider. We have a vast array of opportunities ranging from Nursing, Clinical, to Finance, IT, Administrative, Research and Support Services to name a few. Across all locations, you'll find career opportunities that support diversity, equity and inclusion. At Mayo Clinic, we invest in you with opportunities for growth and development and our benefits and compensation package are highly competitive. We invite you to be a part of our team where you'll discover a culture of teamwork, professionalism, mutual respect, and most importantly, a life-changing career!"
242,$14 - $16 Per Hour(Employer est.),Finance,,Citi,$10+ billion (USD),"Entry-Level Data Positions (Data Engineer, Machine Learning & Visualization)",1812,Company - Public,"Irving, TX",10000+ Employees,Investment Banking & Asset Management,"City
Rochester
State
Minnesota
Telecommute
No
Department
Research
Why Mayo Clinic
Mayo Clinic is the nation's best hospital (U.S. News & World Report, 2020-2021) and ranked #1 in more specialties than any other care provider. We have a vast array of opportunities ranging from Nursing, Clinical, to Finance, IT, Administrative, Research and Support Services to name a few. Across all locations, you'll find career opportunities that support diversity, equity and inclusion. At Mayo Clinic, we invest in you with opportunities for growth and development and our benefits and compensation package are highly competitive. We invite you to be a part of our team where you'll discover a culture of teamwork, professionalism, mutual respect, and most importantly, a life-changing career!"
243,$14 - $16 Per Hour(Employer est.),Finance,3.9,Atlanta Regional Commission,$10+ billion (USD),Data Visualization Assistant – PT Temp,1812,Company - Public,"Atlanta Central City Post Offi, GA",10000+ Employees,Investment Banking & Asset Management,"Citi Consumer Technology is seeking dozens of talented entry-level engineers for its Data & Analytics organization, based in Dallas, Texas, and Jacksonville, Fla.
We work with a variety of technologies and are hiring across multiple teams, including Visualization, Data Engineering & Machine Learning Engineering. You’ll find more information below on our roles, our interview process, and our commitment to your growth and development.
Applications are accepted year-round, with multiple start dates organized around orientation trainings.
Our Organization
The best way to think about Citi Consumer Technology is that we’re a tech company inside a bank. We develop software that has a variety of end users: mobile apps and websites that help our customers manage their money, desktop software that allows our customer service agents to provide help and advice, and internal databases, microservices or tools that teams at Citi rely upon every day.
Technology
Digital Software Engineering"
244,$14 - $16 Per Hour(Employer est.),Information Technology,3.8,Capgemini,$10+ billion (USD),Data Governance Tool/Analyst,1967,Company - Public,"Las Vegas, NV",10000+ Employees,Enterprise Software & Network Solutions,
245,$14 - $16 Per Hour(Employer est.),Information Technology,3.8,Peapod Digital Labs,$10+ billion (USD),Data Science Co-Op,1967,Company - Public,"Chicago, IL",10000+ Employees,Enterprise Software & Network Solutions,"Duration: 6+Months

Requirements:

Must be knowledgeable on how to implement a metadata/data catalog tool
Must be knowledgeable on the process for selecting and evaluating software applications
Must be able to facilitate meetings to gather requirements
Data Catalog (metadata) tool implementation experience; Tool selection process experience; facilitation skills

The Capgemini Freelancer Gateway is enabled by a cutting-edge software platform that leads the contingent labor world for technology innovation. The software platform leverages Machine Learning and Artificial Intelligence to make sure the right people end up in the right job."
246,$14 - $16 Per Hour(Employer est.),Information Technology,3.8,Capgemini,$10+ billion (USD),Big Data Dev,1967,Company - Public,"Atlanta Central City Post Offi, GA",10000+ Employees,Enterprise Software & Network Solutions,"Duration: 6+Months

Requirements:

Must be knowledgeable on how to implement a metadata/data catalog tool
Must be knowledgeable on the process for selecting and evaluating software applications
Must be able to facilitate meetings to gather requirements
Data Catalog (metadata) tool implementation experience; Tool selection process experience; facilitation skills

The Capgemini Freelancer Gateway is enabled by a cutting-edge software platform that leads the contingent labor world for technology innovation. The software platform leverages Machine Learning and Artificial Intelligence to make sure the right people end up in the right job."
247,$14 - $16 Per Hour(Employer est.),Information Technology,3.8,RMDS Lab,$10+ billion (USD),Data Scientist for GRMDS.org,1967,Company - Public,"Pasadena, CA",10000+ Employees,Enterprise Software & Network Solutions,"Duration: 3+Months

Requirements:

Can deploy infrastructure on their own
Can setup CI/CD on their own
Is familiar with testing strategies
In depth knowledge of SQL and relational databases
Has exposure to other types of databases such as NoSQL
Understands enough about metadata and data governance"
248,$14 - $16 Per Hour(Employer est.),Biotech & Pharmaceuticals,4.1,Bayer,$10+ billion (USD),Precision Genomics Data Science Co-Op,1863,Company - Private,"Chesterfield, MO",10000+ Employees,Biotech & Pharmaceuticals,"We are looking for a Data Scientist to analyze large amounts of raw information to find patterns and insights that will help our company and our clients. We will rely on you to build data products to extract valuable business insights. In this role, you should be highly analytical with a knack for analysis, math and statistics. Critical thinking and problem-solving skills are essential for interpreting data. We want to see a passion for machine-learning and research. Your goal will be to help our company and our clients analyze trends to make better decisions.
Responsibilities
Identify valuable data sources and automate collection processes
Undertake preprocessing of structured and unstructured data
Analyze large amounts of information to discover trends and patterns"
249,$14 - $16 Per Hour(Employer est.),,4.1,Bayer,$10+ billion (USD),Data Science Co-Op,1863,Company - Private,"Chesterfield, MO",10000+ Employees,Biotech & Pharmaceuticals,"Bayer is a global enterprise with core competencies in the Life Science fields of health care and agriculture. Its products and services are designed to benefit people and improve their quality of life. At Bayer you have the opportunity to be part of a culture where we value the passion of our employees to innovate and give them the power to change.


Precision Genomics Data Science Co-Op"
250,$14 - $16 Per Hour(Employer est.),Biotech & Pharmaceuticals,4.1,FAAZ Consulting,$10+ billion (USD),SAS Data Scientist,1863,Company - Private,"Washington, DC",10000+ Employees,Biotech & Pharmaceuticals,"Bayer is a global enterprise with core competencies in the Life Science fields of health care and agriculture. Its products and services are designed to benefit people and improve their quality of life. At Bayer you have the opportunity to be part of a culture where we value the passion of our employees to innovate and give them the power to change.


Data Science Co-Op"
251,$14 - $16 Per Hour(Employer est.),Biotech & Pharmaceuticals,4.1,Treeco Group,$10+ billion (USD),Data Engineer,1863,Company - Private,"Chicago, IL",10000+ Employees,Biotech & Pharmaceuticals,"Bayer is a global enterprise with core competencies in the Life Science fields of health care and agriculture. Its products and services are designed to benefit people and improve their quality of life. At Bayer you have the opportunity to be part of a culture where we value the passion of our employees to innovate and give them the power to change.


Data Science Co-Op"
252,$14 - $16 Per Hour(Employer est.),Business Services,4.1,Accenture,$10+ billion (USD),Behavioral Data Science Consultant,1989,Company - Public,"Seattle, WA",10000+ Employees,Consulting,"We’re looking for an experienced Data Engineer with a strong background in statistics and SQL, Python and/or R skills to join our team! Do you want a role where you can really make a difference? Then this role could be perfect for you! In this role you will apply your deep expertise in analytics and data science techniques to enable better customer understanding and inform business decisioning for us.
Key Responsibilities
Contribute to a shared analytics architecture and plan for machine decisioning, claims optimisation and manage components of delivery to that plan.
Elicit and understand stakeholder needs before scoping and developing analytical methodologies to generate training data and build advanced analytical models and solutions with a view to activating them within business processes.
Adopt a product management approach to deliver valuable improvements often, continuously improve and meet stakeholder needs."
253,$14 - $16 Per Hour(Employer est.),Information Technology,4.1,Microsoft,$10+ billion (USD),Data & Applied Scientist,1989,Company - Public,"Bellevue, WA",10000+ Employees,,"Accenture is a global professional services company with leading capabilities in digital, cloud and security. Combining unmatched experience and specialized skills across more than 40 industries, we offer Strategy and Consulting, Interactive, Technology and Operations services—all powered by the world’s largest network of Advanced Technology and Intelligent Operations centers. Our 514,000 people deliver on the promise of technology and human ingenuity every day, serving clients in more than 120 countries. We embrace the power of change to create value and shared success for our clients, people, shareholders, partners and communities. Visit us at www.accenture.com
We are:
Solutions.AI is Accenture's collection of AI solutions that are designed to unlock new efficiencies and growth, enable new ways of working, and facilitate game-changing innovation–3x faster than the typical product lifecycle. Built and delivered on the foundation of Accenture's unparalleled AI expertise, data services, IP and ecosystem partners, our scalable, modular solutions minimize time to market and maximize business impact. The next AI revolution will be built by people like you. Visit us here to find out more about Solutions.AI."
254,$14 - $16 Per Hour(Employer est.),Information Technology,4.4,FedEx Services,$10+ billion (USD),Data Analyst,1975,Company - Public,Virginia,10000+ Employees,Computer Hardware & Software,"Are you looking for an opportunity to solve business-critical problems for Fortune-500 customers globally using cutting-edge AI and ML technology? Do you enjoy tackling technical challenges and producing innovative solutions to real-world problems? Then come join the AI Platform team in Microsoft. You will be working along the best AI/ML engineering, science, and product talent in the industry and engaging with the largest, most complex customers and ISVs in the world.
Artificial Intelligence (AI) and Machine Learning (ML) is the next explosive growth area in technology relevant to every business in every industry on the planet. The data economy is already booming, and in 2021 there will be a projected 35 zettabytes of data generated by 50 billion connected devices. From these mountains of data, AI and ML will harvest valuable predictive signals and patterns that will fundamentally transform the face of business. With our own already existing volumes of data and research assets, Microsoft is investing to be a key player and a market leader in this industry.

The AI Platform organization at Microsoft has the charter to bring the best of our AI & Research assets, tools and cloud infrastructure, rich data, and trusted position together, to deliver AI and ML services and solutions to customers. The mission of the AI Commercial Engineering team within the AI Platform Product Management organization is to co-innovate, incubate, and improve our core AI platform from scenarios utilizing Azure Cognitive Services and Azure ML. We do so by building and infusing AI technologies in real world solutions and extending the signals from real world patterns to building robust, scalable AI platform services and products. To achieve this, we are co-innovating AI and ML powered solutions (rich APIs, ML models and end to end services) with our strategic ISVs and Enterprise customers, leveraging many other Azure technologies, including Azure Data Analytics (Synapse, ADF, SQL and ADB) and Python/C# microservices, Azure Functions and AKS."
255,$14 - $16 Per Hour(Employer est.),Transportation & Logistics,4.1,Luxoft,$1 to $5 million (USD),Data Scientist,2000,Company - Public,"Middletown, NJ",10000+ Employees,Logistics & Supply Chain,"Company: FedEx Services
Job Title: Data Analyst
Job Requisition Number: RC389493
Category: Decision Science & Analytics
Pay Type: Exempt
Locations:
Remote, Tennessee 38120
United States

Oklahoma City, Oklahoma 73105
United States

Compensation: Monthly Salary $4504.12 - $6688.92
The estimate displayed represents the typical salary range or starting rate of candidates hired in Colorado. Factors that may be used to determine your actual salary may include your specific skills, your remote work location (for remote postings), how many years of experience you have, and comparison to other employees already in this role."
256,$14 - $16 Per Hour(Employer est.),Information Technology,4.2,PayPal,$10+ billion (USD),Data Scientist 3,1998,Company - Public,"Wilmington, DE",,Internet,
257,$14 - $16 Per Hour(Employer est.),Information Technology,4.1,Insurify,$10+ billion (USD),Data Scientist,1998,Company - Public,"Sofia, NM",10000+ Employees,Internet,"Who we are: Fueled by a fundamental belief that having access to financial services creates opportunity, PayPal (NASDAQ: PYPL) is committed to democratizing financial services and empowering people and businesses to join and thrive in the global economy. Our open digital payments platform gives PayPal’s 392 million active account holders the confidence to connect and transact in new and powerful ways, whether they are online, on a mobile device, in an app, or in person. Through a combination of technological innovation and strategic partnerships, PayPal creates better ways to manage and move money, and offers choice and flexibility when sending payments, paying or getting paid. Available in more than 200 markets around the world, the PayPal platform, including Braintree, Venmo and Xoom enables consumers and merchants to receive money in more than 100 currencies, withdraw funds in 56 currencies and hold balances in their PayPal accounts in 25 currencies.
Job Description Summary: Fueled by a fundamental belief that having access to financial services creates opportunity, PayPal (NASDAQ: PYPL) is committed to democratizing financial services and empowering people and businesses to join and thrive in the global economy. Our open digital payments platform gives PayPal’s 392 million active account holders the confidence to connect and transact in new and powerful ways, whether they are online, on a mobile device, in an app, or in person. Through a combination of technological innovation and strategic partnerships, PayPal creates better ways to manage and move money, and offers choice and flexibility when sending payments, paying or getting paid. Available in more than 200 markets around the world, the PayPal platform, including Braintree, Venmo and Xoom enables consumers and merchants to receive money in more than 100 currencies, withdraw funds in 56 currencies and hold balances in their PayPal accounts in 25 currencies. Looking for a seasoned analytics professional to join the Global Merchant Lending analytics team and make an immediate impact. The ideal candidate is highly skilled in credit card marketing analytics and can deliver results for our stakeholders."
258,$14 - $16 Per Hour(Employer est.),,,people*strata,,"Associate, Data Science",Company - Public,Unknown / Non-Applicable,"Cincinnati, OH",1 to 50 Employees,,"Do you want to join the newly open Bulgarian research & development center of Boston's hottest startup? Insurify is one of the fastest-growing MIT FinTech businesses and has been recognized as a global Top 100 InsurTech company. We're changing the way millions of people compare and buy insurance with artificial intelligence, technology, and superior product design.

Founded in 2013 by Snejina Zacharia (CEO), Todor Kiryazov (CPO) and Giorgos Zacharia, Co-founder and Board Member, Insurify has raised $28 million in venture capital funding from top investors including Viola Group, MTech Capital, Hearst Ventures, Nationwide Ventures and MassMutual Ventures.

Our team is highly analytical, fast-moving, and focused on one thing: getting more people to compare insurance quotes using Insurify.
How you will make an impact"
259,$14 - $16 Per Hour(Employer est.),Information Technology,5.0,Facebook,$10+ billion (USD),Data Analyst - Ads Revenue Accounting,Company - Public,Company - Public,"Fremont, CA",1 to 50 Employees,Internet,"ENGINE is a media and marketing services company that exists to futureproof clients business. In a fast-changing world, we empower our clients to outperform in the present and win in the future. Driven by data. Fueled by imagination. Powered by technology. Engine is an ecosystem of creative wunderkinds, uber-nerds, business consultants, cultural mavens, and channel specialists working together to help our clients grow. With global headquarters in New York and 16 locations across North America, the UK, Europe, and Asia-Pacific, Engine offers clients a vast range of marketing solutionsincluding insights, content, distribution, data and technology.

POSITION SUMMARY:"
260,$14 - $16 Per Hour(Employer est.),,4.4,Pivosys Inc.,,Python Developer -With Data Science Experience,2004,,"Sacramento, CA",10000+ Employees,,"Facebook is seeking an intellectually curious professional who will drive analysis and generate actionable insights to support the revenue accounting team and their business partners. You will partner with team members to develop analytical controls and to improve the overall accuracy of the revenue streams and the efficiency of our accounting processes. You will be challenged everyday to utilize deep knowledge of SQL and statistics to solve complex problems in a scalable way. You will be responsible for translating complex data into meaningful interpretations and recommendations for your business partners.
Work with large complex data sets to solve difficult, non-routine, analysis problems
Collaborate with a wide variety of cross-functional partners to understand business needs, formulate and complete data analysis, and distill complex analysis into insights
Leverage analytical techniques to improve accuracy of our revenue streams
Develop and maintain SQL scripts for the revenue accounting team
Deliver dashboards and reporting on a regular cadence to allow business users to interact with the complex analysis work"
261,$14 - $16 Per Hour(Employer est.),Health Care,3.0,CVS Health,$10+ billion (USD),Data Science Analyst,1963,Company - Public,"New York, NY",10000+ Employees,Health Care Services & Hospitals,"Python Developer - With Data Science Experience
C2C
Position is with Cognizant and so should not have a submission with them in the last 3 months. if you applied, don't apply now.
Job Type: Full-time
Pay: $35.00 - $56.00 per hour
Schedule:
8 hour shift"
262,$14 - $16 Per Hour(Employer est.),Health Care,3.0,Argonne National Laboratory,$10+ billion (USD),Data Scientist - Life Sciences,1963,Company - Public,"Chicago, IL",10000+ Employees,Health Care Services & Hospitals,"It’s a new day in healthcare!

Combining CVS Health and Aetna was a ground-breaking moment for our company and our industry, establishing CVS Health as the nation’s premier health innovation company. Through our health services, insurance plans and community pharmacists, we’re pioneering a bold new approach to total health.

Looking for opportunities to use cutting edge technologies analyzing petabytes of data in a world class Hadoop cluster? Interested in generating analytical insights that inform provider networks and engagement strategies that support members on their individualized health and wellness journey? Aetna's Provider & Network Analytics team delivers strategically impactful programs and tools that expand convenient access to high-quality and affordable care for all members across multiple channels across all stages of life.

At Aetna, we’re pioneering a total approach to health and wellness. As a Data Analyst on the Analytics & Behavior Change team, you’ll build industry-leading analytics, data, and technology platforms to help reimagine health care. This position will play a critical role within a cross-functional team, delivering powerful solutions that inform network strategy and design, improve network performance and provider engagement, develop new provider offerings, and enhance consumer experience.

You will be part of a fast-paced, innovative, collaborative team, helping solve problems, drive impact, and deliver key insights to our customers by leveraging innovations in data science, machine & deep learning, and predictive modeling techniques. You will derive meaning from data and deploy robust solutions through provider-directed engagement channels (e.g., digital) that helps consumers identify affordable care, when they need it, and with whom.

Fundamental Components

Participates in the development, validation and delivery of algorithms, statistical models and reporting tools. Solves basic analytical problems.

Uses knowledge of basic big data concepts to contribute to existing analytics projects and initiatives.

Uses existing procedures and precedents to solve straightforward problems.

Familiarity with big data concepts. Works with manager and members of a single team.

Presents recommendations to manager of team.

With direction, performs analyses of structured and unstructured data to solve basic business problems utilizing advanced statistical techniques and mathematical analyses.

Uses data visualization techniques to effectively communicate analytical results and support business decisions.

Recommends additional sources of data for improvements.

Documents data gathering and processing and provides a detailed set of results and analytical metrics.


0 - 1 year of business experience leading analyses and initiatives with track record of business impact.

0-1 year total business experience. May be directly out of undergraduate program.

0 - 1 year of experience strategy consulting or on strategy teams in large companies

0 - 1 year experience programming using R, Hadoop, or Python

Experience in SAS or SQL or other programming languages.


Healthcare sector experience preferred

Demonstrates strong ability to communicate technical concepts and implications to business partners.

Anticipates and prevents problems and roadblocks before they occur.


Bachelor's degree in quantitative field, or an equivalent combination of formal education and experience.


At CVS Health, we are joined in a common purpose: helping people on their path to better health. We are working to transform health care through innovations that make quality care more accessible, easier to use, less expensive and patient-focused. Working together and organizing around the individual, we are pioneering a new approach to total health that puts people at the heart."
263,$14 - $16 Per Hour(Employer est.),Information Technology,3.8,Capgemini,$10+ billion (USD),Entry Level Data Engineer - September Start Date,1967,Company - Public,"New York, NY",10000+ Employees,Enterprise Software & Network Solutions,"In this exciting area of research, you will be applying machine learning techniques to problems in the life sciences with an emphasis on using computational approaches for detecting patterns in a variety of contexts including cancer, brain injury, infectious disease and microbial community datasets. Problems typically involve the construction of computational models for phenotype prediction from data that includes genomic data and other omics data. This role will develop and apply computational models on new experimental data, provide measures of uncertainty, and participate in interdisciplinary discussions aimed at the design of new experiments. You will report on results of research including publishing scholarly papers in scientific journals, give presentations at symposia, conferences, meetings, and seminars. You will also participate in the preparation of reports and proposals required by funding agencies to obtain and continue funding support.
We are seeking outstanding people to join us in the Data Science and Learning Division and the Bioscience Division at all career levels. As a multidisciplinary national laboratory, Argonne offers an exciting campus atmosphere in which to collaborate on interdisciplinary projects developing solutions to complex scientific and engineering problems on the world’s largest parallel supercomputers.
Research Development (RD)
Biology 1
Long-Term (Fixed Term)
Full time"
264,$14 - $16 Per Hour(Employer est.),Information Technology,3.8,Facebook,$10+ billion (USD),"Data Scientist, Analytics (University Grad)",1967,Company - Public,"Seattle, WA",10000+ Employees,Internet,"Travel/Relocation: Must be open to both
Start date: September 20th

Working at Capgemini:

Are you interested in working in a high-tech global consulting firm focused on digital transformations and tech solution implementations? We are looking for a goal oriented compassionate person who can work in a fast-paced environment. Due to our rapid growth we are looking to hire a motivated person who is excited to take the next steps with Capgemini."
265,$14 - $16 Per Hour(Employer est.),Information Technology,4.4,Facebook,$10+ billion (USD),"Research Scientist, Optimization Research (Core Data Science - PhD)",2004,Company - Public,"Menlo Park, CA",10000+ Employees,Internet,"Are you passionate about Facebook’s product, analytics and technology? The Analytics team is looking for fast-moving analytics candidates and data junkies who want to make an impact. Candidates will help own analytics for a particular product or business at Facebook and work with product managers and engineers to translate the analysis into meaningful impact to the business. Please note that candidates will have a general interview and then we will make a determination of actual team assignments.
Perform large-scale data analysis and develop effective statistical models for segmentation, classification, optimization, time series, etc.
Design and implement reporting dashboards that track key business metrics and provide actionable insights
Identify actionable insights, suggest recommendations and influence the direction of the business by effectively communicating results to cross-functional groups
Work closely with Product or Engineering & Operations teams to proactively create rule and manage decisions"
266,$14 - $16 Per Hour(Employer est.),Information Technology,4.4,FinTek Solutions LLC,$10+ billion (USD),Data Science,2004,Company - Public,"Tampa, FL",10000+ Employees,Internet,"We are looking for Research Scientists with an Operations Research background to join the Core Data Science team. Core Data Science is an interdisciplinary team of quantitative scientists that aims to deliver research and innovation that fundamentally increase the magnitude of Facebook's successes. The ideal candidate will have extensive graduate training in Operations Research methods, and an interest in answering challenging, open-ended research questions with real-world impact. Expertise in one or more of the following fields is preferred: linear programming, non-linear programming, queueing systems, game theory, operations management, and stochastic modeling.
Answer important product and business questions, by applying appropriate Operations Research methods.
Identify new areas across the family of Facebook apps and products, where Operations Research methods can drive product improvements.
Synthesize and apply relevant insights from the academic literature on Operations Research to Facebook’s products."
267,$14 - $16 Per Hour(Employer est.),Information Technology,4.4,Capgemini,$10+ billion (USD),Data Modeler - Sports Engine Copy,2004,Company - Public,"Englewood Cliffs, NJ",10000+ Employees,Internet,"We are looking for Research Scientists with an Operations Research background to join the Core Data Science team. Core Data Science is an interdisciplinary team of quantitative scientists that aims to deliver research and innovation that fundamentally increase the magnitude of Facebook's successes. The ideal candidate will have extensive graduate training in Operations Research methods, and an interest in answering challenging, open-ended research questions with real-world impact. Expertise in one or more of the following fields is preferred: linear programming, non-linear programming, queueing systems, game theory, operations management, and stochastic modeling.
Answer important product and business questions, by applying appropriate Operations Research methods.
Identify new areas across the family of Facebook apps and products, where Operations Research methods can drive product improvements.
Synthesize and apply relevant insights from the academic literature on Operations Research to Facebook’s products."
268,$14 - $16 Per Hour(Employer est.),Unknown / Non-Applicable,4.3,Inari Agriculture,,Crop Data Scientist,2016,Company - Private,"West Lafayette, IN",51 to 200 Employees,Biotech & Pharmaceuticals,"Job Description
Visas accepted- H1B, H4-EAD, GC, GC-EAD, US Citizens, OPT
Must have :
TensorFlow 2.0 and above, TF sequential and Functional model,
TF activations functions : Must have hands on knowledge of RELU, Softmax, Tanh, Sigmoid
TF keras losses : Must have hands on MeanAbsxx, MeanSqxx and CrossEntropy
Keras, Keras functional API
Python - deep hands on knowledge of pandas and scikit
SQL , Stored procedures, Views
Linux : Reasonable working knowledge required, including basic shell scripting.
Nice to have : SQL Alchemy, CX_Oracle or similar direct to pandas integration with SQL. Tableau , Looker"
269,$14 - $16 Per Hour(Employer est.),Transportation & Logistics,4.3,"Fleetmaster Express, Inc.",$50 to $100 million (USD),ENTRY LEVEL STATISTICAL ANALYST,1987,Company - Private,"Roanoke, VA",201 to 500 Employees,Trucking,"About The Role...
We are looking for an experienced Crop Data Scientist to expand our biological data analyses and computational capabilities within the Late Product Development and Crop Science team. Crop Data Scientists collaborate with breeding and sales to analyze data that aligns product offering, placement, and education with commercial objectives. The role reports to the Crop Science Director in West Lafayette, IN.
As a Crop Data Scientist, you will…
Aggregate disparate data formats from diverse sources
Statistically analyze data for quality control and validate hypotheses of relationships between plant genetics, field results, and environment consistent with company data science norms.
Interpret field data / trial results and generate reports or data visualizations"
270,$14 - $16 Per Hour(Employer est.),$10+ billion (USD),4.2,Mayo Clinic,,Associate Data Science Analyst - DOM AI and Innovation,Nonprofit Organization,Health Care Services & Hospitals,"Rochester, MN",10000+ Employees,Health Care,"City
Rochester
State
Minnesota
Telecommute
No
Department
Research
Why Mayo Clinic
Mayo Clinic is the nation's best hospital (U.S. News & World Report, 2020-2021) and ranked #1 in more specialties than any other care provider. We have a vast array of opportunities ranging from Nursing, Clinical, to Finance, IT, Administrative, Research and Support Services to name a few. Across all locations, you'll find career opportunities that support diversity, equity and inclusion. At Mayo Clinic, we invest in you with opportunities for growth and development and our benefits and compensation package are highly competitive. We invite you to be a part of our team where you'll discover a culture of teamwork, professionalism, mutual respect, and most importantly, a life-changing career!"
271,$14 - $16 Per Hour(Employer est.),$10+ billion (USD),4.2,Accenture,,Data Science Specialist,Nonprofit Organization,Health Care Services & Hospitals,"East Boston, MA",10000+ Employees,Health Care,"City
Rochester
State
Minnesota
Telecommute
No
Department
Research
Why Mayo Clinic
Mayo Clinic is the nation's best hospital (U.S. News & World Report, 2020-2021) and ranked #1 in more specialties than any other care provider. We have a vast array of opportunities ranging from Nursing, Clinical, to Finance, IT, Administrative, Research and Support Services to name a few. Across all locations, you'll find career opportunities that support diversity, equity and inclusion. At Mayo Clinic, we invest in you with opportunities for growth and development and our benefits and compensation package are highly competitive. We invite you to be a part of our team where you'll discover a culture of teamwork, professionalism, mutual respect, and most importantly, a life-changing career!"
272,$14 - $16 Per Hour(Employer est.),Business Services,4.1,Citi,$10+ billion (USD),"Entry-Level Data Positions (Data Engineer, Machine Learning & Visualization)",1989,Company - Public,"Irving, TX",10000+ Employees,Consulting,"Organization: Corporate Functions/Research
Location: US Negotiable - New York, Boston, Chicago, Atlanta
Accenture is a leading global professional services company, providing a broad range of services and solutions in strategy, consulting, digital, technology and operations. Combining unmatched experience and specialized skills across more than 40 industries and all business functions — underpinned by the world’s largest delivery network — Accenture works at the intersection of business and technology to help clients improve their performance and create sustainable value for their stakeholders. With 505,000 people serving clients in more than 200 cities with operations across 51 countries, Accenture drives innovation to improve the way the world works and lives. Visit us at www.accenture.com.
People in the Corporate Function contribute to the running of Accenture as a high- performance business through specialization within a specific functional area, and grow into internally focused roles by deepening their skills and/or developing new skills within an internal functional area."
273,$14 - $16 Per Hour(Employer est.),Finance,3.9,Atlanta Regional Commission,$10+ billion (USD),Data Visualization Assistant – PT Temp,1812,Company - Public,"Atlanta Central City Post Offi, GA",10000+ Employees,Investment Banking & Asset Management,"Citi Consumer Technology is seeking dozens of talented entry-level engineers for its Data & Analytics organization, based in Dallas, Texas, and Jacksonville, Fla.
We work with a variety of technologies and are hiring across multiple teams, including Visualization, Data Engineering & Machine Learning Engineering. You’ll find more information below on our roles, our interview process, and our commitment to your growth and development.
Applications are accepted year-round, with multiple start dates organized around orientation trainings.
Our Organization
The best way to think about Citi Consumer Technology is that we’re a tech company inside a bank. We develop software that has a variety of end users: mobile apps and websites that help our customers manage their money, desktop software that allows our customer service agents to provide help and advice, and internal databases, microservices or tools that teams at Citi rely upon every day.
Technology
Digital Software Engineering"
274,$14 - $16 Per Hour(Employer est.),Unknown / Non-Applicable,3.9,Capgemini,,Data Governance Tool/Analyst,Government,State & Regional Agencies,"Las Vegas, NV",51 to 200 Employees,Government,"Center
Center for Livable Communities

Group
Research & Analytics

Salary Range
$15.00-$17.00




POSITION SUMMARY:"
275,$14 - $16 Per Hour(Employer est.),Information Technology,3.8,Peapod Digital Labs,$10+ billion (USD),Data Science Co-Op,1967,Company - Public,"Chicago, IL",10000+ Employees,Enterprise Software & Network Solutions,"Duration: 6+Months

Requirements:

Must be knowledgeable on how to implement a metadata/data catalog tool
Must be knowledgeable on the process for selecting and evaluating software applications
Must be able to facilitate meetings to gather requirements
Data Catalog (metadata) tool implementation experience; Tool selection process experience; facilitation skills

The Capgemini Freelancer Gateway is enabled by a cutting-edge software platform that leads the contingent labor world for technology innovation. The software platform leverages Machine Learning and Artificial Intelligence to make sure the right people end up in the right job."
